Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.08.26 01:26:17;Sell Limit;0.40;EURUSD;1.11922;1.31922;1.11572;2019.08.26 11:17:00;1.11142;;;;cancelled
2019.08.26 01:26:16;Sell;0.20;EURUSD;1.11572;1.31572;1.11142;2019.08.26 11:17:00;1.11142;-1.40;;86.00;[tp]
2019.08.23 18:15:31;Sell;0.10;EURUSD;1.11322;1.31572;1.11142;2019.08.26 11:17:00;1.11142;-0.70;0.66;18.00;[tp]
2019.08.23 17:51:42;Sell;0.10;EURUSD;1.11062;1.31572;1.11142;2019.08.26 11:17:00;1.11142;-0.70;0.66;-8.00;[tp]
2019.08.23 07:18:55;Buy Limit;1.60;EURUSD;1.10285;0.90285;1.10875;2019.08.23 17:51:41;1.11065;;;;cancelled
2019.08.23 07:18:54;Buy;0.80;EURUSD;1.10635;0.90636;1.11066;2019.08.23 17:51:39;1.11066;-5.60;;344.80;[tp]
2019.08.15 17:22:50;Buy;0.40;EURUSD;1.10976;0.90636;1.11066;2019.08.23 17:51:39;1.11066;-2.80;-33.93;36.00;[tp]
2019.08.14 21:37:33;Buy;0.20;EURUSD;1.11326;0.90636;1.11066;2019.08.23 17:51:39;1.11066;-1.40;-23.34;-52.00;[tp]
2019.08.14 16:59:22;Buy;0.10;EURUSD;1.11584;0.90636;1.11066;2019.08.23 17:51:39;1.11066;-0.70;-11.66;-51.80;[tp]
2019.08.13 17:00:00;Buy;0.10;EURUSD;1.11840;0.90636;1.11066;2019.08.23 17:51:39;1.11066;-0.70;-12.72;-77.40;[tp]
2019.08.13 12:45:02;Sell Limit;0.10;EURUSD;1.12345;1.32345;1.11995;2019.08.13 16:56:43;1.11728;;;;cancelled
2019.08.13 12:45:01;Sell;0.10;EURUSD;1.12095;1.32095;1.11765;2019.08.13 16:56:10;1.11765;-0.70;;33.00;[tp]
2019.08.12 16:11:15;Sell Limit;0.10;EURUSD;1.12430;1.32430;1.12080;2019.08.13 06:19:22;1.11850;;;;cancelled
2019.08.12 16:11:14;Sell;0.10;EURUSD;1.12180;1.32180;1.11850;2019.08.13 06:19:22;1.11850;-0.70;0.66;33.00;[tp]
2019.08.12 10:15:01;Buy Limit;0.10;EURUSD;1.11602;0.91602;1.11952;2019.08.12 16:11:13;1.12180;;;;cancelled
2019.08.12 10:15:00;Buy;0.10;EURUSD;1.11852;0.91852;1.12182;2019.08.12 16:11:12;1.12183;-0.70;;33.10;[tp]
2019.08.09 18:40:26;Sell Limit;0.10;EURUSD;1.12431;1.32431;1.12081;2019.08.12 10:14:39;1.11844;;;;cancelled
2019.08.09 18:40:26;Sell;0.10;EURUSD;1.12181;1.32181;1.11851;2019.08.12 10:14:39;1.11849;-0.70;0.66;33.20;[tp]
2019.08.08 21:30:00;Buy Limit;0.10;EURUSD;1.11601;0.91601;1.11951;2019.08.09 18:40:25;1.12182;;;;cancelled
2019.08.08 21:30:00;Buy;0.10;EURUSD;1.11851;0.91851;1.12181;2019.08.09 18:40:25;1.12181;-0.70;-1.06;33.00;[tp]
2019.08.08 15:47:06;Buy Limit;0.10;EURUSD;1.11578;0.91578;1.11928;2019.08.08 16:02:26;1.12158;;;;cancelled
2019.08.08 15:47:05;Buy;0.10;EURUSD;1.11828;0.91828;1.12158;2019.08.08 16:02:26;1.12158;-0.70;;33.00;[tp]
2019.08.07 16:15:01;Sell Limit;0.10;EURUSD;1.12432;1.32432;1.12082;2019.08.08 15:47:05;1.11846;;;;cancelled
2019.08.07 16:15:00;Sell;0.10;EURUSD;1.12182;1.32182;1.11852;2019.08.08 15:47:05;1.11846;-0.70;1.98;33.60;[tp]
2019.08.07 03:21:23;Sell Limit;0.10;EURUSD;1.12378;1.32378;1.12028;2019.08.07 13:39:59;1.11808;;;;cancelled
2019.08.07 03:21:22;Sell;0.10;EURUSD;1.12128;1.32128;1.11798;2019.08.07 13:39:58;1.11795;-0.70;;33.30;[tp]
2019.08.06 16:00:01;Buy Limit;0.10;EURUSD;1.11548;0.91548;1.11898;2019.08.07 03:21:22;1.12132;;;;cancelled
2019.08.06 16:00:00;Buy;0.10;EURUSD;1.11798;0.91798;1.12128;2019.08.07 03:21:22;1.12130;-0.70;-1.06;33.20;[tp]
2019.08.06 02:06:48;Sell Limit;1.60;EURUSD;1.12636;1.32636;1.12046;2019.08.06 14:54:06;1.11853;;;;cancelled
2019.08.06 02:06:47;Sell;0.80;EURUSD;1.12286;1.32284;1.11854;2019.08.06 14:54:05;1.11852;-5.60;;347.20;[tp]
