Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
14.12.2021 23:45:14,15.12.2021 02:09:06,EURCAD,Sell,1.8,1.45166,1.44786,1.44815,1.44787,2.8,46.01,00:02:23:52,1.28%
13.12.2021 23:00:00,13.12.2021 23:44:25,EURCAD,Sell,1.67,1.45014,1.44521,1.44664,1.4452,14.4,254.06,00:00:44:25,7.59%
07.12.2021 23:50:04,08.12.2021 00:35:04,EURCAD,Buy,1.62,1.42068,1.42455,1.42418,1.42486,6.8,104.26,00:00:45:00,3.21%
07.12.2021 23:21:17,07.12.2021 23:31:05,EURCAD,Buy,1.58,1.42069,1.42469,1.42418,1.42468,5,79.1,00:00:09:48,2.50%
06.12.2021 23:20:39,07.12.2021 01:00:09,EURCAD,Buy,1.59,1.43586,1.43956,1.43949,1.43949,0,-17.84,00:01:39:30,-0.56%
23.11.2021 23:02:05,24.11.2021 00:34:33,EURCAD,Buy,1.64,1.42207,1.42559,1.42556,1.42515,-4.1,-91.65,00:01:32:28,-2.80%
18.11.2021 23:07:03,19.11.2021 00:09:51,EURCAD,Buy,1.63,1.42929,1.433,1.43283,1.43299,1.6,10.35,00:01:02:48,0.32%
11.11.2021 00:17:52,11.11.2021 01:07:14,EURCAD,Buy,1.62,1.43013,1.43414,1.43385,1.43401,1.6,19.41,00:00:49:22,0.60%
09.11.2021 23:00:09,09.11.2021 23:24:04,EURCAD,Sell,1.6,1.44627,1.44244,1.44274,1.44245,2.9,41.74,00:00:23:55,1.30%
08.11.2021 23:31:24,09.11.2021 01:13:35,EURCAD,Buy,1.62,1.43832,1.44182,1.44187,1.44181,-0.6,-28.74,00:01:42:11,-0.89%
05.11.2021 00:22:52,05.11.2021 02:59:55,EURCAD,Buy,1.65,1.43579,1.43896,1.43929,1.43895,-3.4,-69.89,00:02:37:03,-2.12%
01.11.2021 23:20:33,02.11.2021 01:27:37,EURCAD,Sell,1.59,1.43958,1.43532,1.43609,1.43533,7.6,121.88,00:02:07:04,3.83%
28.10.2021 23:00:02,28.10.2021 23:40:28,EURCAD,Buy,1.53,1.43805,1.44228,1.44155,1.44227,7.2,109.9,00:00:40:26,3.58%
25.10.2021 23:32:11,26.10.2021 01:35:10,EURCAD,Buy,1.57,1.43448,1.43774,1.43799,1.43771,-2.8,-65.11,00:02:02:59,-2.08%
21.10.2021 23:13:49,22.10.2021 00:54:47,EURCAD,Buy,1.58,1.43465,1.43805,1.43814,1.43804,-1,-34.94,00:01:40:58,-1.10%
19.10.2021 23:51:11,20.10.2021 01:01:27,EURCAD,Buy,1.58,1.43464,1.43839,1.43819,1.43839,2,15.15,00:01:10:16,0.48%
18.10.2021 23:00:08,18.10.2021 23:03:37,EURCAD,Sell,1.55,1.44125,1.43736,1.43775,1.43734,4.1,60.69,00:00:03:29,1.96%
