Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,11/11/2019 14:55,11/11/2019 17:15,EURUSD,Sell,6.00,0.00000,0.00000,1.10370,1.10314,-12.0000,0.0000,5.6,292.59,0.03,"",0,00:02:19:53,50.0,1h 9m,5.8,0.94,6.2,337.218,-5.8,-315.462,51.7,95.0,-0.60,-32.63
,11/11/2019 14:56,11/11/2019 17:15,EURUSD,Sell,6.00,0.00000,0.00000,1.10382,1.10313,-12.0000,0.0000,6.9,363.30,0.04,"",0,00:02:19:18,59.0,1h 22m,4.9,0.62,7.4,402.48600000000005,-4.6,-250.194,61.7,95.8,-0.50,-27.20
,11/11/2019 15:02,11/11/2019 17:15,EURUSD,Sell,6.00,0.00000,0.00000,1.10404,1.10313,-12.0000,0.0000,9.1,482.96,0.05,"",0,00:02:12:45,90.3,1h 59m,4.6,0.25,9.6,522.144,-2.4,-130.536,80.0,95.8,-0.50,-27.20
,11/11/2019 11:35,11/11/2019 13:28,EURUSD,Sell,6.00,0.00000,0.00000,1.10318,1.10297,-12.0000,0.0000,2.1,102.24,0.01,"",0,00:01:53:00,46.1,52m,6.4,1.06,3.1,168.64,-3.3,-179.51999999999998,48.4,84.4,-1.00,-54.40
,11/11/2019 10:00,11/11/2019 10:05,EURUSD,Sell,6.00,0.00000,0.00000,1.10301,1.10257,-12.0000,0.0000,4.4,227.44,0.02,"",0,00:00:04:21,100.0,4m,0.0,0.23,4.4,239.44800000000004,0.0,0.0,100.0,100.0,0.00,0.00
,11/09/2019 19:24,,,Withdrawal,0.01,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-240000.00,0,"ITO-E7DNL7BCOOIM7IGT 999031170",0,00:00:00:00,,,,,,,,,,,,
,11/07/2019 09:51,11/08/2019 22:28,EURUSD,Sell,6.00,0.00000,0.00000,1.10791,1.10214,-12.0000,21.5000,57.7,3150.66,0.25,"",0,01:12:36:57,91.4,1d 9h ,16.3,0.16,61.9,3369.836,-9.6,-522.6239999999999,86.6,94.1,-4.20,-228.65
,10/10/2019 09:51,11/08/2019 22:27,EURUSD,Sell,6.00,0.00000,0.00000,1.10038,1.10215,-12.0000,742.5800,-17.7,-232.99,-0.02,"",0,29:12:35:58,0.2,1h 25m,181.2,16.45,10.4,566.176,-170.8,-9298.352,5.7,84.5,-28.10,-1529.76
,11/07/2019 12:07,11/08/2019 22:27,EURUSD,Sell,6.00,0.00000,0.00000,1.10816,1.10215,-12.0000,21.5000,60.1,3281.29,0.26,"",0,01:10:19:32,95.0,1d 8h ,14.6,0.11,64.4,3505.936,-7.1,-386.52399999999994,90.1,94.0,-4.30,-234.09
,10/10/2019 09:36,11/08/2019 22:21,EURUSD,Sell,6.00,0.00000,0.00000,1.09919,1.10217,-12.0000,742.5800,-29.8,-891.67,-0.07,"",0,29:12:44:23,0.0,0s,182.7,185.19,0.0,0.0,-182.7,-9946.187999999998,0.0,83.7,-29.80,-1622.31
,10/10/2019 09:36,11/08/2019 22:20,EURUSD,Sell,6.00,0.00000,0.00000,1.09915,1.10216,-12.0000,742.5800,-30.1,-908.02,-0.07,"",0,29:12:44:25,0.0,0s,183.1,185.19,0.0,0.0,-183.1,-9967.964,0.0,83.6,-30.10,-1638.64
,10/10/2019 09:36,11/08/2019 22:20,EURUSD,Sell,6.00,0.00000,0.00000,1.09909,1.10216,-12.0000,742.5800,-30.7,-940.68,-0.08,"",0,29:12:44:32,0.0,0s,183.7,185.19,0.0,0.0,-183.7,-10000.627999999999,0.0,83.3,-30.70,-1671.31
,10/10/2019 08:46,11/08/2019 22:20,EURUSD,Sell,6.00,0.00000,0.00000,1.09859,1.10216,-12.0000,742.5800,-35.7,-1212.88,-0.10,"",0,29:13:33:51,0.0,0s,188.7,192.31,0.0,0.0,-188.7,-10272.828,0.0,81.1,-35.70,-1943.51
,11/06/2019 15:45,11/08/2019 22:20,EURUSD,Sell,6.00,0.00000,0.00000,1.10905,1.10217,-12.0000,85.9100,68.8,3819.25,0.31,"",0,02:06:34:42,100.0,2d 6h ,31.0,0.01,73.3,3990.4519999999998,0.0,0.0,100.0,93.9,-4.50,-244.98
