Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
03/04/2020 14:00,03/05/2020 10:21,EURUSD,Buy,0.01,1.11127,1.11461,-0.1000,-0.3600,33.4,2.88,0.03,00:20:20:58,96.4,19h 37m,35.9,0.47,35.7,3.5700000000000003,-16.8,-1.6800000000000002,68.0,95.6,-2.30,-0.23
03/04/2020 07:30,03/04/2020 09:37,EURUSD,Buy Limit,0.01,1.11231,1.11810,0.0000,0.0000,0.0,0.00,0,00:02:07:48,,,,,,,,,,,,
03/04/2020 07:30,03/04/2020 09:37,EURUSD,Buy,0.01,1.11481,1.11813,-0.1000,0.0000,33.2,3.22,0.03,00:02:07:48,97.7,2h 4m,10.8,0.03,33.8,3.38,-1.1,-0.11000000000000001,96.8,98.3,-0.60,-0.06
03/03/2020 16:18,03/03/2020 17:11,EURUSD,Sell Limit,0.02,1.12252,1.11646,0.0000,0.0000,0.0,0.00,0,00:00:53:20,,,,,,,,,,,,
03/03/2020 16:18,03/03/2020 17:11,EURUSD,Sell,0.01,1.12002,1.11647,-0.1000,0.0000,35.5,3.45,0.03,00:00:53:19,100.0,53m,4.8,0.02,40.3,4.03,0.0,0.0,100.0,88.1,-4.80,-0.48
03/03/2020 16:15,03/03/2020 17:11,EURUSD,Sell,0.01,1.11752,1.11647,-0.1000,0.0000,10.5,0.95,0.01,00:00:56:34,27.3,15m,18.0,1.18,15.3,1.5300000000000002,-18.0,-1.8,45.9,85.6,-4.80,-0.48
03/03/2020 14:20,03/03/2020 16:00,EURUSD,Buy Limit,0.02,1.10740,1.11369,0.0000,0.0000,0.0,0.00,0,00:01:40:09,,,,,,,,,,,,
03/03/2020 14:19,03/03/2020 16:00,EURUSD,Buy,0.01,1.10990,1.11362,-0.1000,0.0000,37.2,3.62,0.04,00:01:40:10,100.0,1h 40m,33.3,0.01,70.5,7.050000000000001,0.0,0.0,100.0,52.8,-33.30,-3.33
03/03/2020 02:15,03/03/2020 16:00,EURUSD,Buy,0.01,1.11240,1.11362,-0.1000,0.0000,12.2,1.12,0.01,00:13:45:08,58.2,8h 0m,53.7,0.58,45.5,4.55,-26.2,-2.62,63.5,53.6,-33.30,-3.33
03/02/2020 18:14,03/02/2020 22:05,EURUSD,Sell Limit,0.32,1.12183,1.11239,0.0000,0.0000,0.0,0.00,0,00:03:50:01,,,,,,,,,,,,
