Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
08/09/2019 20:31,08/12/2019 00:05,EURUSD,Sell,1.00,1.12150,1.11561,1.12047,1.11990,5.7,63.50,02:03:34:00,0.13
08/09/2019 22:02,08/12/2019 00:05,EURUSD,Buy,1.00,1.11908,1.12407,1.12069,1.11980,-8.9,-102.10,02:02:03:00,-0.22
08/09/2019 18:33,08/09/2019 21:22,EURUSD,Buy,1.00,1.12009,1.12561,1.12114,1.12051,-6.3,-63.00,00:02:49:00,-0.13
08/09/2019 19:04,08/09/2019 20:18,EURUSD,Sell,1.00,1.12322,1.11856,1.12181,1.12068,11.3,113.00,00:01:14:00,0.24
08/09/2019 17:13,08/09/2019 18:26,EURUSD,Buy,1.00,1.11677,1.12291,1.11931,1.12101,17.0,170.00,00:01:13:00,0.36
08/09/2019 13:18,08/09/2019 16:34,EURUSD,Buy,1.00,1.11804,1.12465,1.11989,1.11972,-1.7,-17.00,00:03:16:00,-0.04
08/09/2019 09:13,08/09/2019 16:30,EURUSD,Buy,1.00,1.11788,1.12243,1.11950,1.11997,4.7,47.00,00:07:17:00,0.10
08/09/2019 10:21,08/09/2019 12:29,EURUSD,Sell,1.00,1.12061,1.11605,1.11936,1.12003,-6.7,-67.00,00:02:08:00,-0.14
08/08/2019 22:10,08/09/2019 04:34,EURUSD,Sell,1.00,1.12189,1.11635,1.11903,1.11947,-4.4,-37.50,00:06:24:00,-0.08
08/08/2019 18:05,08/08/2019 21:21,EURUSD,Buy,1.00,1.11826,1.12464,1.12093,1.11883,-21.0,-210.00,00:03:16:00,-0.44
08/08/2019 19:26,08/08/2019 21:03,EURUSD,Buy,1.00,1.11922,1.12588,1.12106,1.11922,-18.4,-184.00,00:01:37:00,-0.39
08/08/2019 17:33,08/08/2019 17:37,EURUSD,Buy,1.00,1.11761,1.12223,1.12004,1.12223,21.9,219.00,00:00:04:00,0.46
08/08/2019 16:03,08/08/2019 16:47,EURUSD,Sell,1.00,1.12357,1.11912,1.12143,1.12030,11.3,113.00,00:00:44:00,0.24
08/08/2019 12:02,08/08/2019 15:48,EURUSD,Sell,1.00,1.12350,1.11698,1.12134,1.11850,28.4,284.00,00:03:46:00,0.61
08/08/2019 14:25,08/08/2019 14:57,EURUSD,Buy,1.00,1.11861,1.12431,1.12026,1.11861,-16.5,-165.00,00:00:32:00,-0.35
08/08/2019 04:33,08/08/2019 13:34,EURUSD,Buy,1.00,1.11892,1.12344,1.12089,1.12079,-1.0,-10.00,00:09:01:00,-0.02
08/08/2019 03:28,08/08/2019 07:15,EURUSD,Sell,1.00,1.12282,1.11787,1.12087,1.12103,-1.6,-16.00,00:03:47:00,-0.03
08/07/2019 21:15,08/08/2019 02:04,EURUSD,Sell,1.00,1.12284,1.11655,1.12104,1.12065,3.9,58.50,00:04:49:00,0.12
08/07/2019 20:18,08/07/2019 23:14,EURUSD,Sell,1.00,1.12391,1.11938,1.12256,1.12065,19.1,191.00,00:02:56:00,0.41
08/07/2019 19:12,08/07/2019 20:16,EURUSD,Sell,1.00,1.12445,1.11833,1.12313,1.12281,3.2,32.00,00:01:04:00,0.07
08/07/2019 18:20,08/07/2019 18:50,EURUSD,Buy,1.00,1.11995,1.12585,1.12294,1.12351,5.7,57.00,00:00:30:00,0.12
08/07/2019 17:16,08/07/2019 17:43,EURUSD,Sell,1.00,1.12431,1.12054,1.12275,1.12241,3.4,34.00,00:00:27:00,0.07
08/07/2019 16:25,08/07/2019 16:56,EURUSD,Buy,1.00,1.11923,1.12476,1.12187,1.12392,20.5,205.00,00:00:31:00,0.44
08/07/2019 10:34,08/07/2019 16:23,EURUSD,Sell,1.00,1.12247,1.11651,1.11990,1.12182,-19.2,-192.00,00:05:49:00,-0.41
08/07/2019 11:04,08/07/2019 15:37,EURUSD,Buy,1.00,1.11618,1.12091,1.11879,1.11967,8.8,88.00,00:04:33:00,0.19
08/06/2019 20:15,08/07/2019 09:25,EURUSD,Buy,1.00,1.11733,1.12240,1.12019,1.12016,-0.3,-16.10,00:13:10:00,-0.03
08/06/2019 19:26,08/07/2019 09:03,EURUSD,Buy,1.00,1.11859,1.12337,1.12009,1.12041,3.2,18.90,00:13:37:00,0.04
08/06/2019 16:05,08/06/2019 18:14,EURUSD,Buy,1.00,1.11592,1.12202,1.11828,1.12038,21.0,210.00,00:02:09:00,0.45
08/06/2019 15:24,08/06/2019 16:43,EURUSD,Buy,1.00,1.11669,1.12090,1.11834,1.11669,-16.5,-165.00,00:01:19:00,-0.35
08/06/2019 12:30,08/06/2019 14:16,EURUSD,Sell,1.00,1.12310,1.11794,1.12017,1.11998,1.9,19.00,00:01:46:00,0.04
08/06/2019 11:04,08/06/2019 12:09,EURUSD,Sell,1.00,1.12382,1.11637,1.12098,1.11969,12.9,129.00,00:01:05:00,0.28
08/06/2019 07:34,08/06/2019 11:26,EURUSD,Sell,1.00,1.12263,1.11662,1.12013,1.12060,-4.7,-47.00,00:03:52:00,-0.10
08/06/2019 08:23,08/06/2019 10:51,EURUSD,Buy,1.00,1.11803,1.12481,1.12060,1.12174,11.4,114.00,00:02:28:00,0.25
08/06/2019 05:01,08/06/2019 07:06,EURUSD,Sell,1.00,1.12422,1.12035,1.12251,1.12035,21.6,216.00,00:02:05:00,0.47
08/06/2019 03:15,08/06/2019 04:56,EURUSD,Sell,1.00,1.12588,1.12019,1.12451,1.12244,20.7,207.00,00:01:41:00,0.45
08/06/2019 01:15,08/06/2019 03:24,EURUSD,Buy,1.00,1.11989,1.12470,1.12178,1.12408,23.0,230.00,00:02:09:00,0.50
08/05/2019 21:32,08/06/2019 01:10,EURUSD,Sell,1.00,1.12250,1.11740,1.12034,1.12193,-15.9,-152.50,00:03:38:00,-0.33
08/05/2019 20:19,08/05/2019 22:10,EURUSD,Buy,1.00,1.11975,1.12466,1.12094,1.12033,-6.1,-61.00,00:01:51:00,-0.13
08/05/2019 15:15,08/05/2019 19:46,EURUSD,Buy,1.00,1.11629,1.12045,1.11822,1.12045,22.3,223.00,00:04:31:00,0.49
08/05/2019 12:06,08/05/2019 15:15,EURUSD,Buy,1.00,1.11272,1.11952,1.11501,1.11812,31.1,311.00,00:03:09:00,0.69
08/05/2019 11:26,08/05/2019 14:10,EURUSD,Buy,1.00,1.11106,1.11731,1.11375,1.11731,35.6,356.00,00:02:44:00,0.79
08/05/2019 04:08,08/05/2019 10:02,EURUSD,Buy,1.00,1.10970,1.11623,1.11234,1.11165,-6.9,-69.00,00:05:54:00,-0.15
08/05/2019 08:29,08/05/2019 09:53,EURUSD,Buy,1.00,1.11167,1.11595,1.11291,1.11167,-12.4,-124.00,00:01:24:00,-0.27
08/05/2019 05:09,08/05/2019 07:31,EURUSD,Sell,1.00,1.11420,1.10823,1.11182,1.11286,-10.4,-104.00,00:02:22:00,-0.23
08/05/2019 01:25,08/05/2019 03:17,EURUSD,Buy,1.00,1.10875,1.11430,1.11092,1.11191,9.9,99.00,00:01:52:00,0.22
08/02/2019 19:21,08/05/2019 00:30,EURUSD,Buy,1.00,1.10948,1.11517,1.11094,1.11094,0.0,-13.10,02:05:09:00,-0.03
08/02/2019 12:09,08/02/2019 18:27,EURUSD,Sell,1.00,1.11080,1.10653,1.10966,1.11039,-7.3,-73.00,00:06:18:00,-0.16
08/02/2019 11:28,08/02/2019 11:29,EURUSD,Sell,1.00,1.11127,1.10779,1.10981,1.10980,0.1,1.00,00:00:01:00,0.00
08/02/2019 08:33,08/02/2019 11:23,EURUSD,Buy,1.00,1.10617,1.11250,1.10790,1.11001,21.1,211.00,00:02:50:00,0.47
08/02/2019 10:04,08/02/2019 10:56,EURUSD,Buy,1.00,1.10726,1.11050,1.10838,1.11050,21.2,212.00,00:00:52:00,0.47
08/02/2019 06:30,08/02/2019 09:51,EURUSD,Buy,1.00,1.10523,1.11165,1.10741,1.10824,8.3,83.00,00:03:21:00,0.19
08/01/2019 21:12,08/02/2019 07:09,EURUSD,Sell,1.00,1.11033,1.10446,1.10828,1.10759,6.9,75.50,00:09:57:00,0.17
08/01/2019 22:20,08/02/2019 06:16,EURUSD,Sell,1.00,1.11149,1.10515,1.10884,1.10751,13.3,139.50,00:07:56:00,0.31
08/01/2019 18:07,08/01/2019 21:17,EURUSD,Buy,1.00,1.10376,1.11059,1.10609,1.10825,21.6,216.00,00:03:10:00,0.49
08/01/2019 19:04,08/01/2019 21:11,EURUSD,Buy,1.00,1.10318,1.10964,1.10598,1.10837,23.9,239.00,00:02:07:00,0.54
08/01/2019 10:16,08/01/2019 17:12,EURUSD,Buy,1.00,1.10156,1.10761,1.10430,1.10506,7.6,76.00,00:06:56:00,0.17
08/01/2019 05:08,08/01/2019 09:57,EURUSD,Sell,1.00,1.10688,1.10283,1.10494,1.10425,6.9,69.00,00:04:49:00,0.16
08/01/2019 07:12,08/01/2019 09:36,EURUSD,Buy,1.00,1.10247,1.10858,1.10458,1.10390,-6.8,-68.00,00:02:24:00,-0.15
07/31/2019 22:26,07/31/2019 22:29,EURUSD,Buy,1.00,1.10657,1.11127,1.10831,1.10866,3.5,35.00,00:00:03:00,0.08
07/31/2019 19:24,07/31/2019 21:38,EURUSD,Sell,1.00,1.11402,1.10807,1.11222,1.10807,41.5,415.00,00:02:14:00,0.95
07/31/2019 18:11,07/31/2019 21:02,EURUSD,Sell,1.00,1.11514,1.11073,1.11354,1.11073,28.1,281.00,00:02:51:00,0.65
07/31/2019 13:01,07/31/2019 17:37,EURUSD,Sell,1.00,1.11705,1.11227,1.11442,1.11378,6.4,64.00,00:04:36:00,0.15
07/31/2019 15:07,07/31/2019 17:11,EURUSD,Sell,1.00,1.11676,1.11075,1.11497,1.11388,10.9,109.00,00:02:04:00,0.25
07/31/2019 08:04,07/31/2019 11:17,EURUSD,Buy,1.00,1.11323,1.11775,1.11551,1.11525,-2.6,-26.00,00:03:13:00,-0.06
07/30/2019 19:25,07/31/2019 04:03,EURUSD,Buy,1.00,1.11336,1.11878,1.11530,1.11512,-1.8,-31.10,00:08:38:00,-0.07
07/30/2019 10:19,07/30/2019 18:12,EURUSD,Buy,1.00,1.11142,1.11796,1.11382,1.11445,6.3,63.00,00:07:53:00,0.15
07/30/2019 12:01,07/30/2019 18:12,EURUSD,Buy,1.00,1.11204,1.11941,1.11475,1.11445,-3.0,-30.00,00:06:11:00,-0.07
07/29/2019 18:09,07/30/2019 04:25,EURUSD,Buy,1.00,1.11096,1.11719,1.11348,1.11391,4.3,29.90,00:10:16:00,0.07
07/29/2019 15:12,07/29/2019 17:02,EURUSD,Sell,1.00,1.11420,1.10814,1.11168,1.11285,-11.7,-117.00,00:01:50:00,-0.27
07/29/2019 14:34,07/29/2019 14:46,EURUSD,Buy,1.00,1.11064,1.11469,1.11164,1.11174,1.0,10.00,00:00:12:00,0.02
07/29/2019 07:21,07/29/2019 13:15,EURUSD,Sell,1.00,1.11542,1.10894,1.11276,1.11273,0.3,3.00,00:05:54:00,0.01
07/26/2019 18:31,07/26/2019 21:15,EURUSD,Sell,1.00,1.11393,1.10967,1.11193,1.11292,-9.9,-99.00,00:02:44:00,-0.23
07/26/2019 15:24,07/26/2019 17:20,EURUSD,Buy,1.00,1.11117,1.11633,1.11405,1.11212,-19.3,-193.00,00:01:56:00,-0.44
07/26/2019 14:26,07/26/2019 15:17,EURUSD,Sell,1.00,1.11433,1.11075,1.11325,1.11433,-10.8,-108.00,00:00:51:00,-0.25
07/26/2019 10:23,07/26/2019 13:14,EURUSD,Sell,1.00,1.11617,1.11002,1.11359,1.11367,-0.8,-8.00,00:02:51:00,-0.02
07/26/2019 11:16,07/26/2019 13:01,EURUSD,Sell,1.00,1.11653,1.11108,1.11367,1.11426,-5.9,-59.00,00:01:45:00,-0.14
07/25/2019 21:16,07/26/2019 03:34,EURUSD,Buy,1.00,1.11252,1.11871,1.11477,1.11488,1.1,-2.10,00:06:18:00,0.00
07/26/2019 01:17,07/26/2019 03:34,EURUSD,Buy,1.00,1.11261,1.11821,1.11470,1.11488,1.8,18.00,00:02:17:00,0.04
07/25/2019 18:13,07/25/2019 20:38,EURUSD,Sell,1.00,1.11673,1.11145,1.11559,1.11403,15.6,156.00,00:02:25:00,0.36
07/25/2019 17:09,07/25/2019 18:11,EURUSD,Sell,1.00,1.11969,1.11334,1.11789,1.11586,20.3,203.00,00:01:02:00,0.47
07/25/2019 16:33,07/25/2019 16:59,EURUSD,Buy,1.00,1.11364,1.11940,1.11648,1.11808,16.0,160.00,00:00:26:00,0.37
07/25/2019 15:22,07/25/2019 15:51,EURUSD,Buy,1.00,1.10829,1.11447,1.11121,1.11447,32.6,326.00,00:00:29:00,0.76
07/25/2019 14:22,07/25/2019 14:45,EURUSD,Sell,1.00,1.11522,1.11025,1.11414,1.11522,-10.8,-108.00,00:00:23:00,-0.25
07/24/2019 16:12,07/24/2019 19:32,EURUSD,Buy,1.00,1.11348,1.11777,1.11454,1.11490,3.6,36.00,00:03:20:00,0.08
07/24/2019 15:08,07/24/2019 17:19,EURUSD,Sell,1.00,1.11687,1.11173,1.11439,1.11491,-5.2,-52.00,00:02:11:00,-0.12
