Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Commission,Swap,Pips
12/31/2019 12:07,12/31/2019 13:39,EURUSD,Sell,0.5,1.12156,1.12252,-3.5,0,-9.6
12/31/2019 11:00,12/31/2019 13:39,EURUSD,Sell,0.5,1.12114,1.12252,-3.5,0,-13.8
12/31/2019 10:34,12/31/2019 13:39,EURUSD,Sell,0.5,1.12074,1.12252,-3.5,0,-17.8
12/31/2019 10:35,12/31/2019 13:39,EURUSD,Sell,0.5,1.12069,1.12252,-3.5,0,-18.3
12/31/2019 11:41,12/31/2019 11:57,GBPUSD,Sell,0.5,1.31469,1.31591,-3.5,0,-12.2
12/31/2019 11:52,12/31/2019 11:57,GBPUSD,Sell,0.5,1.31443,1.31591,-3.5,0,-14.8
12/31/2019 11:00,12/31/2019 11:47,EURUSD,Sell,0.5,1.1212,1.1216,-3.5,0,-4
12/31/2019 02:22,12/31/2019 11:45,USDCAD,Buy,0.5,1.30595,1.3038,-3.5,0,-21.5
12/31/2019 01:33,12/31/2019 11:45,USDCAD,Buy,0.5,1.306,1.30399,-3.5,0,-20.1
12/31/2019 03:51,12/31/2019 11:45,USDCAD,Buy,0.5,1.30495,1.304,-3.5,0,-9.5
12/31/2019 02:54,12/31/2019 11:45,USDCAD,Buy,0.5,1.30579,1.304,-3.5,0,-17.9
12/31/2019 03:51,12/31/2019 09:59,USDCAD,Buy,0.5,1.30495,1.30452,-3.5,0,-4.3
12/31/2019 03:50,12/31/2019 09:59,USDCAD,Buy,0.5,1.30505,1.30452,-3.5,0,-5.3
12/31/2019 04:21,12/31/2019 05:10,EURUSD,Sell,0.5,1.12121,1.12054,-3.5,0,6.7
12/31/2019 04:21,12/31/2019 05:10,EURUSD,Sell,0.5,1.12121,1.12056,-3.5,0,6.5
12/31/2019 03:14,12/31/2019 03:46,XAUUSD,Sell,0.3,1519.47,1521.02,-2.1,0,-155
12/31/2019 03:01,12/31/2019 03:46,XAUUSD,Sell,0.3,1518.02,1521.02,-2.1,0,-300
12/31/2019 03:00,12/31/2019 03:46,XAUUSD,Sell,0.3,1517.18,1521.02,-2.1,0,-384
12/30/2019 23:03,12/31/2019 03:46,XAUUSD,Sell,0.3,1514.87,1521.02,-2.1,1.76,-615
12/30/2019 23:10,12/31/2019 03:00,XAUUSD,Sell,0.3,1515,1517.29,-2.1,1.76,-229
12/31/2019 01:43,12/31/2019 03:00,XAUUSD,Sell,0.3,1515.29,1516.37,-2.1,0,-108
12/31/2019 01:34,12/31/2019 01:35,USDCAD,Buy,1,1.30601,1.30611,-7,0,1
12/30/2019 15:33,12/30/2019 16:32,USDJPY,Sell,0.5,109.215,109.044,-3.5,0,17.1
12/30/2019 15:46,12/30/2019 16:22,USDJPY,Sell,0.5,109.213,109.08,-3.5,0,13.3
12/30/2019 09:08,12/30/2019 13:28,USDJPY,Sell,0.5,109.169,109.132,-3.5,0,3.7
12/30/2019 06:10,12/30/2019 13:27,USDJPY,Sell,0.5,109.174,109.126,-3.5,0,4.8
12/26/2019 00:08,12/30/2019 13:26,USDJPY,Sell,0.5,109.375,109.122,-3.5,-7.28,25.3
12/26/2019 00:07,12/30/2019 05:30,USDJPY,Sell,0.5,109.377,109.089,-3.5,-7.28,28.8
12/30/2019 01:05,12/30/2019 04:51,USDJPY,Sell,0.5,109.443,109.128,-3.5,0,31.5
12/30/2019 01:13,12/30/2019 04:50,USDJPY,Sell,0.5,109.439,109.118,-3.5,0,32.1
12/30/2019 01:05,12/30/2019 04:49,USDJPY,Sell,0.5,109.445,109.118,-3.5,0,32.7
12/30/2019 04:45,12/30/2019 04:47,USDJPY,Sell,0.01,109.183,109.164,-0.07,0,1.9
12/27/2019 08:46,12/27/2019 21:07,USDJPY,Sell,0.5,109.499,109.439,-3.5,0,6
12/27/2019 08:45,12/27/2019 21:06,USDJPY,Sell,0.5,109.498,109.44,-3.5,0,5.8
12/27/2019 10:21,12/27/2019 10:37,GBPUSD,Buy,0.3,1.30257,1.3041,-2.1,0,15.3
12/27/2019 01:04,12/27/2019 10:37,GBPUSD,Buy,0.3,1.29997,1.3042,-2.1,0,42.3
12/27/2019 07:42,12/27/2019 10:02,GBPUSD,Buy,0.3,1.29977,1.30446,-2.1,0,46.9
12/27/2019 07:49,12/27/2019 09:57,GBPUSD,Buy,0.3,1.29967,1.30306,-2.1,0,33.9
12/27/2019 08:05,12/27/2019 09:57,GBPUSD,Buy,0.3,1.2996,1.30296,-2.1,0,33.6
12/26/2019 00:08,12/27/2019 06:00,USDJPY,Sell,0.5,109.377,109.462,-3.5,-3.64,-8.5
12/26/2019 00:07,12/27/2019 06:00,USDJPY,Sell,0.5,109.377,109.46,-3.5,-3.64,-8.3
12/27/2019 03:49,12/27/2019 05:54,GBPUSD,Buy,0.3,1.29892,1.29975,-2.1,0,8.3
12/26/2019 11:07,12/27/2019 05:48,GBPUSD,Buy,0.3,1.2985,1.29971,-2.1,-2.12,12.1
12/27/2019 04:16,12/27/2019 05:46,GBPUSD,Buy,0.3,1.29799,1.29981,-2.1,0,18.2
12/27/2019 00:48,12/27/2019 04:49,EURUSD,Buy,0.5,1.10969,1.11172,-3.5,0,20.3
12/27/2019 03:55,12/27/2019 04:00,GBPUSD,Buy,0.5,1.29796,1.29794,-3.5,0,-0.2
12/27/2019 00:44,12/27/2019 03:56,EURUSD,Buy,0.5,1.10968,1.11084,-3.5,0,11.6
12/27/2019 00:44,12/27/2019 03:54,EURUSD,Buy,0.5,1.1097,1.11091,-3.5,0,12.1
12/26/2019 17:57,12/27/2019 02:41,USDJPY,Sell,0.5,109.636,109.455,-3.5,-3.64,18.1
12/26/2019 19:31,12/27/2019 02:37,USDJPY,Sell,0.5,109.635,109.459,-3.5,-3.64,17.6
12/26/2019 09:00,12/26/2019 20:51,EURUSD,Buy,0.5,1.1087,1.11058,-3.5,0,18.8
12/26/2019 09:00,12/26/2019 19:38,EURUSD,Buy,0.5,1.10863,1.11037,-3.5,0,17.4
