Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
12/28/2021 11:14,12/28/2021 12:07,USTEC,Buy,0.36,0.00000,16649.37000,16629.00000,16649.00000,20.0,147.60,00:00:52:49,0.20%
12/28/2021 10:51,12/28/2021 11:14,USTEC,Buy,0.36,0.00000,16624.29000,16604.00000,16624.00000,20.0,144.00,00:00:22:47,0.20%
12/27/2021 23:38,12/28/2021 10:51,USTEC,Buy,0.36,0.00000,16600.38000,16580.00000,16600.00000,20.0,144.00,00:11:13:36,0.20%
12/27/2021 21:35,12/27/2021 23:38,USTEC,Buy,0.36,0.00000,16576.77000,16557.00000,16577.00000,20.0,130.44,00:02:02:25,0.18%
12/27/2021 18:13,12/27/2021 21:35,USTEC,Buy,0.36,0.00000,16554.05000,16534.00000,16554.00000,20.0,146.88,00:03:21:55,0.20%
12/27/2021 17:30,12/27/2021 18:13,USTEC,Buy,0.36,0.00000,16529.86000,16510.00000,16530.00000,20.0,142.56,00:00:43:47,0.20%
12/27/2021 17:22,12/27/2021 17:30,USTEC,Buy,0.36,0.00000,16506.56000,16487.00000,16507.00000,20.0,144.00,00:00:07:57,0.20%
12/27/2021 17:07,12/27/2021 17:22,USTEC,Buy,0.36,0.00000,16483.66000,16463.00000,16484.00000,21.0,146.16,00:00:14:40,0.20%
12/27/2021 16:37,12/27/2021 17:07,USTEC,Buy,0.36,0.00000,16460.46000,16440.00000,16460.00000,20.0,146.88,00:00:29:48,0.20%
12/27/2021 16:35,12/27/2021 16:37,USTEC,Buy,0.36,0.00000,16437.06000,16417.00000,16437.00000,20.0,144.00,00:00:02:33,0.20%
12/27/2021 16:31,12/27/2021 16:35,USTEC,Buy,0.36,0.00000,16415.28000,16395.00000,16415.00000,20.0,147.60,00:00:03:26,0.21%
12/27/2021 14:33,12/27/2021 16:31,USTEC,Buy,0.36,0.00000,16390.37000,16370.00000,16390.00000,20.0,145.44,00:01:58:24,0.20%
12/23/2021 22:46,12/27/2021 14:33,USTEC,Buy,0.36,0.00000,16365.86000,16346.00000,16366.00000,20.0,117.24,03:15:46:42,0.16%
12/23/2021 18:49,12/23/2021 22:46,USTEC,Buy,0.36,0.00000,16342.70000,16323.00000,16343.00000,20.0,143.28,00:03:57:18,0.20%
12/23/2021 18:01,12/23/2021 18:49,USTEC,Buy,0.36,0.00000,16317.33000,16297.00000,16317.00000,20.0,144.72,00:00:47:41,0.20%
12/23/2021 17:49,12/23/2021 18:01,USTEC,Buy,0.33,0.00000,16296.83000,16277.00000,16293.00000,16.0,100.58,00:00:12:27,0.14%
12/23/2021 17:00,12/23/2021 17:49,USTEC,Buy,0.33,0.00000,16272.54000,16253.00000,16273.00000,20.0,132.00,00:00:48:28,0.19%
12/23/2021 16:38,12/23/2021 17:00,USTEC,Buy,0.33,0.00000,16248.54000,16229.00000,16249.00000,20.0,130.02,00:00:22:04,0.18%
12/23/2021 12:52,12/23/2021 16:38,USTEC,Buy,0.33,0.00000,16223.94000,16204.00000,16224.00000,20.0,131.34,00:03:46:13,0.19%
12/22/2021 22:59,12/23/2021 12:52,USTEC,Buy,0.33,0.00000,16198.70000,16179.00000,16199.00000,20.0,119.21,00:13:52:46,0.17%
12/22/2021 22:54,12/22/2021 22:59,USTEC,Buy,0.33,0.00000,16174.70000,16155.00000,16175.00000,20.0,131.34,00:00:04:49,0.19%
12/22/2021 18:33,12/22/2021 22:54,USTEC,Buy,0.33,0.00000,16150.59000,16130.00000,16151.00000,21.0,132.66,00:04:20:53,0.19%
12/22/2021 18:02,12/22/2021 18:33,USTEC,Buy,0.33,0.00000,16125.18000,16105.00000,16125.00000,20.0,132.66,00:00:31:35,0.19%
12/22/2021 17:50,12/22/2021 18:02,USTEC,Buy,0.33,0.00000,16098.98000,16079.00000,16099.00000,20.0,133.32,00:00:11:16,0.19%
12/22/2021 17:38,12/22/2021 17:50,USTEC,Buy,0.33,0.00000,16073.58000,16052.00000,16074.00000,22.0,139.26,00:00:12:42,0.20%
12/22/2021 16:47,12/22/2021 17:38,USTEC,Buy,0.33,0.00000,16046.07000,16025.00000,16046.00000,21.0,140.58,00:00:51:09,0.20%
