Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2020.01.30 01:00:00;Sell;0.01;GBPAUD;1.92855;1.94107;1.91598;2020.01.30 10:15:00;1.92929;-0.07;;-0.49;
2020.01.29 21:30:01;Sell;0.01;GBPUSD;1.30219;1.31065;1.29691;2020.01.30 04:00:00;1.30200;-0.07;0.08;0.19;
2020.01.30 01:45:02;Sell;0.01;NZDCAD;0.86179;0.86739;0.85557;2020.01.30 03:00:01;0.86087;-0.07;;0.70;
2020.01.30 00:27:40;Buy;0.01;AUDCAD;0.89080;0.88501;0.89397;2020.01.30 01:30:00;0.89130;-0.07;;0.38;
2020.01.29 21:00:32;Buy;0.01;GBPAUD;1.92853;1.91594;1.93558;2020.01.30 01:00:01;1.92854;-0.07;-0.05;0.01;
2020.01.29 23:00:00;Buy;0.01;CHFJPY;111.973;111.245;112.586;2020.01.30 00:30:06;112.023;-0.07;-0.07;0.46;
2020.01.29 21:45:00;Sell;0.01;AUDCAD;0.89144;0.89723;0.88706;2020.01.30 00:27:41;0.89079;-0.07;0.03;0.49;
2020.01.29 20:30:01;Sell;0.01;CHFJPY;112.022;112.750;111.456;2020.01.29 22:30:00;111.999;-0.07;;0.21;
2020.01.28 23:30:00;Sell;0.04;GBPCHF;1.26695;1.27518;1.25526;2020.01.29 10:00:00;1.26678;-0.28;-0.27;0.70;
2020.01.28 20:15:00;Sell;0.02;GBPCAD;1.71362;1.72476;1.70378;2020.01.29 03:45:00;1.71375;-0.14;0.05;-0.20;
2020.01.28 20:15:00;Sell;0.01;GBPUSD;1.30032;1.30877;1.29306;2020.01.29 03:30:00;1.30219;-0.07;0.03;-1.87;
2020.01.28 20:15:00;Sell;0.02;GBPAUD;1.92655;1.93905;1.91483;2020.01.29 02:45:00;1.92446;-0.14;0.01;2.83;
2020.01.28 22:45:00;Sell;0.04;CHFJPY;112.166;112.894;111.785;2020.01.29 02:30:00;112.102;-0.28;0.05;2.34;
2020.01.28 23:45:01;Sell;0.02;NZDCAD;0.86135;0.86695;0.85766;2020.01.29 00:45:09;0.86105;-0.14;0.01;0.45;
2020.01.27 23:15:00;Sell;0.01;GBPAUD;1.93151;1.94411;1.90381;2020.01.28 06:00:00;1.93203;-0.07;0.01;-0.35;
2020.01.27 22:00:00;Sell;0.01;GBPNZD;1.99407;2.00704;1.96722;2020.01.28 06:00:00;1.99476;-0.07;0.01;-0.45;
