Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
12/30/2021 13:41,12/31/2021 13:08,GBPUSD,Sell,0.07,0.00000,1.34670,1.35070,1.34670,40.0,27.82,00:23:27:38,1.38%
12/22/2021 12:49,12/22/2021 13:56,GBPUSD,Sell,0.01,0.00000,0.00000,1.33224,1.33039,18.5,1.85,00:01:06:56,0.09%
12/21/2021 20:31,12/22/2021 07:03,GBPUSD,Sell,0.01,0.00000,0.00000,1.32661,1.32451,21.0,2.08,00:10:32:04,0.10%
12/17/2021 17:07,12/20/2021 14:21,GBPUSD,Buy,0.01,0.00000,0.00000,1.32585,1.32360,-22.5,-2.27,02:21:13:52,-0.11%
12/20/2021 10:15,12/20/2021 14:21,GBPUSD,Buy,0.01,0.00000,0.00000,1.31960,1.32358,39.8,3.98,00:04:06:16,0.20%
12/20/2021 00:15,12/20/2021 14:21,GBPUSD,Buy,0.01,0.00000,0.00000,1.32285,1.32356,7.1,0.71,00:14:06:18,0.04%
12/16/2021 18:32,12/17/2021 11:29,GBPUSD,Sell,0.01,0.00000,0.00000,1.33158,1.32953,20.5,2.03,00:16:56:56,0.10%
12/16/2021 15:44,12/16/2021 18:10,GBPUSD,Sell,0.01,0.00000,0.00000,1.33347,1.33146,20.1,2.01,00:02:26:05,0.10%
12/16/2021 13:00,12/16/2021 15:44,GBPUSD,Sell,0.01,0.00000,0.00000,1.33215,1.33364,-14.9,-1.49,00:02:43:35,-0.07%
12/16/2021 14:30,12/16/2021 15:44,GBPUSD,Sell,0.01,0.00000,0.00000,1.33671,1.33364,30.7,3.07,00:01:13:33,0.15%
12/16/2021 13:00,12/16/2021 13:00,GBPUSD,Sell,0.01,0.00000,0.00000,1.33187,1.33241,-5.4,-0.54,00:00:00:29,-0.03%
12/08/2021 12:40,12/08/2021 12:48,GBPUSD,Buy,0.01,0.00000,0.00000,1.31683,1.32005,32.2,3.22,00:00:08:20,0.16%
12/06/2021 20:21,12/07/2021 12:54,GBPUSD,Sell,0.01,0.00000,0.00000,1.32656,1.32453,20.3,2.01,00:16:33:21,0.10%
12/06/2021 10:17,12/06/2021 15:37,GBPUSD,Sell,0.01,0.00000,0.00000,1.32657,1.32444,21.3,2.13,00:05:19:58,0.11%
12/03/2021 16:02,12/06/2021 09:43,GBPUSD,Buy,0.01,0.00000,0.00000,1.32375,1.32577,20.2,2.00,02:17:41:08,0.10%
12/02/2021 12:30,12/02/2021 15:07,GBPUSD,Sell,0.01,0.00000,0.00000,1.33278,1.33079,19.9,1.99,00:02:37:20,0.10%
11/30/2021 16:56,11/30/2021 20:19,GBPUSD,Buy,0.01,0.00000,0.00000,1.32557,1.32728,17.1,1.71,00:03:22:55,0.08%
11/19/2021 13:56,11/19/2021 14:31,GBPUSD,Buy,0.01,0.00000,0.00000,1.34217,1.34424,20.7,2.07,00:00:34:56,0.10%
