Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
09/11/2020 03:59,09/11/2020 05:46,XAUUSD,Sell,0.21,1949.04,1944.08,496,104.16,00:01:46:36,10.42%
09/16/2020 21:08,09/16/2020 21:10,XAUUSD,Sell,0.21,1958.61,1956.61,200,42.0,00:00:01:59,3.80%
09/16/2020 21:32,09/16/2020 21:37,XAUUSD,Buy,0.17,1962.27,1965.66,339,57.63,00:00:04:57,5.03%
09/25/2020 09:20,09/25/2020 09:31,XAUUSD,Buy,0.04,1866.26,1870.16,390,15.6,00:00:11:25,1.30%
10/02/2020 18:18,10/02/2020 18:37,XAUUSD,Sell,0.17,1907.35,1905.84,151,25.67,00:00:18:49,2.11%
10/05/2020 01:05,10/05/2020 02:43,XAUUSD,Buy,0.17,1903.57,1903.02,-55,-9.35,00:01:38:14,-0.75%
10/05/2020 02:44,10/05/2020 03:30,XAUUSD,Sell,0.01,1901.73,1900.68,105,1.05,00:00:46:02,0.08%
10/06/2020 18:53,10/06/2020 18:58,XAUUSD,Sell,0.17,1905.85,1904.5,135,22.95,00:00:04:59,1.86%
10/06/2020 22:51,10/07/2020 09:26,XAUUSD,Buy,0.02,1888.16,1889.69,153,3.06,00:10:34:59,0.24%
10/09/2020 16:59,10/09/2020 17:01,XAUUSD,Buy,0.02,1922.6,1924.11,151,3.02,00:00:02:01,0.24%
10/09/2020 20:29,10/09/2020 21:01,XAUUSD,Buy,0.04,1920.81,1925.54,473,18.92,00:00:31:52,1.49%
10/15/2020 10:30,10/15/2020 11:21,XAUUSD,Sell,0.32,1900.12,1898.08,204,65.28,00:00:50:57,5.08%
10/15/2020 12:49,10/15/2020 13:16,XAUUSD,Sell,0.32,1894.86,1893.73,113,36.16,00:00:27:04,2.68%
10/15/2020 17:01,10/15/2020 17:22,XAUUSD,Buy,0.04,1893.86,1897.31,345,13.8,00:00:20:49,1.00%
10/19/2020 17:26,10/19/2020 18:24,XAUUSD,Sell,0.02,1909.36,1904.37,499,9.98,00:00:58:01,0.71%
10/21/2020 03:15,10/22/2020 04:30,XAUUSD,Sell,0.01,1914.92,1918.46,-354,-3.54,01:01:14:21,-0.25%
10/22/2020 15:37,10/22/2020 15:45,XAUUSD,Sell,0.04,1906.57,1905.46,111,4.44,00:00:07:49,0.32%
10/23/2020 18:31,10/23/2020 18:51,XAUUSD,Sell,0.01,1899.04,1896.59,245,2.45,00:00:20:01,0.17%
10/26/2020 03:45,10/26/2020 04:24,XAUUSD,Buy,0.32,1896.47,1899.4,293,93.76,00:00:39:32,6.63%
10/27/2020 14:56,10/27/2020 15:32,XAUUSD,Sell,0.21,1904.54,1902.42,212,44.52,00:00:36:22,2.95%
10/29/2020 13:59,10/29/2020 15:33,XAUUSD,Buy,0.17,1872.47,1870.86,-161,-27.37,00:01:34:03,-1.76%
10/29/2020 16:44,10/29/2020 17:07,XAUUSD,Sell,0.02,1876.7,1870.85,585,11.7,00:00:23:15,0.77%
11/03/2020 14:04,11/04/2020 02:59,XAUUSD,Sell,0.02,1901.31,1901.89,-58,-1.16,00:12:54:55,-0.08%
11/04/2020 03:52,11/04/2020 03:58,XAUUSD,Sell,0.02,1904.26,1902.19,207,4.14,00:00:05:39,0.27%
11/05/2020 16:58,11/05/2020 17:00,XAUUSD,Buy,0.21,1933.55,1934.69,114,23.94,00:00:01:47,1.56%
11/09/2020 16:01,11/09/2020 16:06,XAUUSD,Sell,0.21,1882.77,1880.37,240,50.4,00:00:04:57,3.22%
11/09/2020 17:44,11/09/2020 19:17,XAUUSD,Buy,0.04,1859.92,1865.91,599,23.96,00:01:32:59,1.49%
11/13/2020 02:27,11/13/2020 03:02,XAUUSD,Buy,0.16,1876.13,1878.61,248,39.68,00:00:35:32,2.42%
11/18/2020 09:31,11/18/2020 10:26,XAUUSD,Buy,0.16,1880.8,1883.44,264,42.24,00:00:55:01,2.52%
11/19/2020 15:37,11/19/2020 15:51,XAUUSD,Buy,0.21,1857.05,1858.78,173,36.33,00:00:14:29,2.11%
11/20/2020 14:35,11/20/2020 23:24,XAUUSD,Sell,0.01,1864.18,1870.23,-605,-6.05,00:08:48:26,-0.34%
11/27/2020 17:30,11/27/2020 17:33,XAUUSD,Sell,0.21,1783.55,1782.32,123,25.83,00:00:02:20,1.48%
12/01/2020 12:01,12/01/2020 13:11,XAUUSD,Sell,0.01,1796.87,1806.98,-1011,-10.11,00:01:09:51,-0.57%
12/01/2020 13:16,12/01/2020 13:23,XAUUSD,Sell,0.02,1808.16,1807.11,105,2.1,00:00:07:01,0.12%
12/01/2020 14:08,12/01/2020 14:47,XAUUSD,Buy,0.32,1805.6,1806.78,118,37.76,00:00:38:39,2.14%
12/01/2020 14:56,12/01/2020 15:21,XAUUSD,Buy,0.04,1808.69,1810.84,215,8.6,00:00:24:52,0.48%
12/03/2020 17:55,12/03/2020 18:04,XAUUSD,Sell,0.04,1831.79,1829.33,246,9.84,00:00:09:17,0.54%
12/08/2020 17:19,12/08/2020 19:04,XAUUSD,Buy,0.17,1867.07,1870.6,353,60.01,00:01:44:41,3.28%
12/08/2020 17:02,12/08/2020 19:04,XAUUSD,Buy,0.02,1868.23,1870.6,237,4.74,00:02:01:59,0.26%
12/09/2020 17:01,12/09/2020 17:03,XAUUSD,Buy,0.16,1842.19,1843.91,172,27.52,00:00:02:18,1.46%
12/10/2020 12:54,12/10/2020 13:49,XAUUSD,Sell,0.16,1837.06,1834.81,225,36.0,00:00:55:09,1.88%
12/11/2020 14:21,12/14/2020 01:06,XAUUSD,Sell,0.02,1831.8,1836.95,-515,-10.3,02:10:44:52,-0.53%
12/14/2020 17:11,12/15/2020 04:04,XAUUSD,Buy,0.02,1829.16,1830.66,150,3.0,00:10:52:49,0.15%
