Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
04/14/2021 07:50,04/16/2021 09:20,GBPUSD,Buy,0.05,0,0,1.37752,1.37366,-38.6,-19.3,0,0
04/14/2021 07:50,04/16/2021 09:20,GBPUSD,Sell,0.05,0,0,1.37749,1.37369,38,19,0,0
04/13/2021 16:39,04/16/2021 09:20,GBPUSD,Sell,0.05,0,0,1.37395,1.37352,4.3,2.15,0,0
04/14/2021 17:32,04/16/2021 07:48,AUDCAD,Sell,0.1,0,0,0.9676,0.96964,-20.4,-16.27,0,0
04/14/2021 02:51,04/16/2021 07:48,AUDCAD,Sell,0.03,0,0,0.95902,0.96962,-106,-25.36,0,0
04/14/2021 08:59,04/16/2021 07:48,AUDCAD,Sell,0.03,0,0,0.96179,0.96963,-78.4,-18.76,0,0
04/15/2021 16:10,04/16/2021 07:48,AUDCAD,Sell,0.13,0,0,0.96999,0.96961,3.8,3.94,0,0
04/15/2021 23:29,04/16/2021 07:48,AUDCAD,Sell,0.22,0,0,0.97287,0.96961,32.6,57.2,0,0
04/14/2021 14:27,04/16/2021 07:48,AUDCAD,Sell,0.06,0,0,0.96519,0.96961,-44.2,-21.15,0,0
04/06/2021 20:12,04/14/2021 17:01,EURSGD,Sell,0.03,0,0,1.58835,1.5976,-92.5,-20.77,0,0
04/07/2021 11:16,04/14/2021 17:01,EURSGD,Sell,0.03,0,0,1.5928,1.59755,-47.5,-10.66,0,0
04/08/2021 18:05,04/14/2021 17:01,EURSGD,Sell,0.06,0,0,1.59572,1.59755,-18.3,-8.22,0,0
04/13/2021 15:44,04/14/2021 17:01,EURSGD,Sell,0.13,0,0,1.60042,1.59755,28.7,27.92,0,0
04/13/2021 15:13,04/14/2021 17:01,EURSGD,Sell,0.1,0,0,1.59805,1.59759,4.6,3.45,0,0
04/13/2021 16:39,04/14/2021 07:50,GBPUSD,Buy,0.05,0,0,1.37395,1.37749,35.4,17.7,0,0
04/13/2021 04:06,04/14/2021 05:35,AUDCAD,Buy,0.03,0,0,0.95685,0.96,31.5,7.54,0,0
