Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
08/12/2020 19:50,08/12/2020 19:51,XAUUSD,Sell,0.05,0,0,1923.21,1922.69,5199.999999999818,2599.6499999999096,0,0
08/12/2020 19:24,08/12/2020 19:25,XAUUSD,Buy,0.05,0,0,1936.73,1937.52,7899.999999999636,3949.6499999998186,0,0
08/12/2020 19:18,08/12/2020 19:22,XAUUSD,Buy,0.02,0,0,1943.19,1938.51,-46800.00000000064,-9360.140000000127,0,0
08/12/2020 15:57,08/12/2020 15:58,XAUUSD,Sell,0.01,0,0,1938.5,1937.36,11400.000000001,1139.9300000000999,0,0
08/12/2020 15:15,08/12/2020 15:20,XAUUSD,Buy,0.05,0,0,1918.99,1921.31,23199.999999999363,11599.649999999681,0,0
08/12/2020 15:09,08/12/2020 15:14,XAUUSD,Sell,0.01,0,0,1915.14,1921.06,-59199.99999999846,-5920.069999999846,0,0
08/12/2020 12:41,08/12/2020 12:46,XAUUSD,Buy,0.02,0,0,1873.95,1878.59,46399.99999999873,9279.859999999746,0,0
08/12/2020 12:40,08/12/2020 12:46,XAUUSD,Buy,0.02,0,0,1874.77,1878.59,38199.99999999936,7639.859999999872,0,0
08/12/2020 12:39,08/12/2020 12:46,XAUUSD,Buy,0.02,0,0,1876.32,1879.92,36000.00000000137,7199.860000000273,0,0
08/12/2020 12:20,08/12/2020 12:21,XAUUSD,Sell,0.02,0,0,1880.53,1879.8,7300.000000000182,1459.8600000000365,0,0
08/12/2020 10:23,08/12/2020 10:27,XAUUSD,Buy,0.15,0,0,1882.35,1886.0,36500.00000000091,54748.950000001365,0,0
08/12/2020 10:19,08/12/2020 10:27,XAUUSD,Buy,0.03,0,0,1883.55,1885.61,20599.999999999454,6179.789999999835,0,0
08/12/2020 10:18,08/12/2020 10:22,XAUUSD,Buy,0.03,0,0,1884.94,1878.03,-69100.00000000081,-20730.210000000243,0,0
08/12/2020 10:14,08/12/2020 10:14,XAUUSD,Sell,0.03,0,0,1878.94,1882.21,-32699.999999999818,-9810.209999999945,0,0
08/12/2020 10:06,08/12/2020 10:06,XAUUSD,Sell,0.03,0,0,1877.87,1873.64,42299.999999997905,12689.789999999373,0,0
08/12/2020 09:45,08/12/2020 09:45,XAUUSD,Buy,0.03,0,0,1892.73,1894.15,14200.000000000728,4259.790000000218,0,0
