Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
05/11/2021 23:03,05/12/2021 05:58,GBPCAD,Buy,1.8,0,0,1.7106,1.71076,1.60,23.76,0,0
05/11/2021 22:31,05/12/2021 01:01,GBPSGD,Buy,0.45,0,0,1.87524,1.87545,2.10,7.13,0,0
05/11/2021 21:00,05/11/2021 22:22,GBPSGD,Sell,0.45,0,0,1.87656,1.87541,11.50,39.04,0,0
05/10/2021 23:54,05/11/2021 01:30,GBPSGD,Buy,0.9,0,0,1.87314,1.87348,3.40,23.07,0,0
05/10/2021 23:07,05/11/2021 01:21,GBPCAD,Buy,1.8,0,0,1.70866,1.7093,6.40,95.19,0,0
05/10/2021 21:00,05/10/2021 23:30,GBPSGD,Sell,0.9,0,0,1.87391,1.87389,0.20,1.36,0,0
05/07/2021 18:11,05/10/2021 21:35,AUDCAD,Sell,0.33,0,0,0.95344,0.94926,41.80,114.02,0,0
05/07/2021 18:11,05/10/2021 20:20,AUDCAD,Sell,0.33,0,0,0.95344,0.94981,36.30,99.13,0,0
05/10/2021 11:27,05/10/2021 18:12,AUDCAD,Sell,0.33,0,0,0.95179,0.95103,7.60,20.74,0,0
05/10/2021 15:50,05/10/2021 17:44,NZDCAD,Buy,0.33,0,0,0.8832,0.88248,-7.20,-19.64,0,0
05/10/2021 13:09,05/10/2021 15:50,NZDCAD,Sell,0.33,0,0,0.8841,0.88319,9.10,24.81,0,0
05/10/2021 03:27,05/10/2021 13:09,NZDCAD,Buy,0.33,0,0,0.88314,0.8841,9.60,26.14,0,0
05/10/2021 09:40,05/10/2021 11:27,AUDCAD,Buy,0.33,0,0,0.95097,0.95179,8.20,22.35,0,0
05/10/2021 08:35,05/10/2021 09:40,AUDCAD,Sell,0.33,0,0,0.95185,0.95097,8.80,24.00,0,0
05/10/2021 05:25,05/10/2021 08:35,AUDCAD,Buy,0.33,0,0,0.9509,0.95184,9.40,25.60,0,0
05/07/2021 18:11,05/10/2021 05:25,AUDCAD,Sell,0.33,0,0,0.95343,0.9509,25.30,68.84,0,0
05/07/2021 18:11,05/10/2021 03:40,NZDCAD,Sell,0.33,0,0,0.88474,0.88277,19.70,53.62,0,0
05/10/2021 02:26,05/10/2021 03:27,NZDCAD,Sell,0.33,0,0,0.88408,0.88314,9.40,25.59,0,0
05/07/2021 23:40,05/10/2021 02:26,NZDCAD,Buy,0.33,0,0,0.88316,0.88406,9.00,24.50,0,0
05/07/2021 18:11,05/07/2021 23:40,NZDCAD,Sell,0.33,0,0,0.88479,0.88319,16.00,43.52,0,0
05/04/2021 15:57,05/07/2021 18:11,AUDCAD,Buy,0.33,0,0,0.94972,0.95345,37.30,101.29,0,0
05/06/2021 10:36,05/07/2021 18:11,NZDCAD,Buy,0.33,0,0,0.88312,0.88475,16.30,44.26,0,0
05/04/2021 10:34,05/07/2021 18:11,AUDCAD,Buy,0.33,0,0,0.95086,0.95344,25.80,70.06,0,0
05/06/2021 05:41,05/07/2021 18:11,AUDCAD,Buy,0.33,0,0,0.94781,0.95344,56.30,152.88,0,0
05/06/2021 10:54,05/07/2021 18:11,NZDCAD,Buy,0.33,0,0,0.88273,0.88479,20.60,55.94,0,0
05/06/2021 23:00,05/07/2021 06:06,GBPCAD,Buy,1.8,0,0,1.69055,1.69071,1.60,23.69,0,0
05/06/2021 23:50,05/07/2021 02:02,GBPSGD,Buy,0.9,0,0,1.85214,1.85247,3.30,22.28,0,0
05/06/2021 21:00,05/06/2021 22:49,GBPSGD,Buy,0.9,0,0,1.85194,1.85243,4.90,33.08,0,0
05/05/2021 19:26,05/06/2021 10:54,NZDCAD,Sell,0.33,0,0,0.8845,0.88273,17.70,47.65,0,0
05/06/2021 07:12,05/06/2021 10:36,NZDCAD,Sell,0.33,0,0,0.88405,0.88312,9.30,25.04,0,0
05/06/2021 05:49,05/06/2021 07:12,NZDCAD,Buy,0.33,0,0,0.88326,0.88409,8.30,22.31,0,0
05/05/2021 18:14,05/06/2021 05:49,NZDCAD,Sell,0.33,0,0,0.88396,0.88326,7.00,18.80,0,0
05/05/2021 16:08,05/06/2021 05:41,AUDCAD,Sell,0.33,0,0,0.95065,0.94781,28.40,76.34,0,0
05/05/2021 23:43,05/06/2021 03:13,GBPSGD,Buy,0.9,0,0,1.85752,1.85795,4.30,28.98,0,0
05/05/2021 23:12,05/06/2021 01:56,GBPCAD,Buy,1.8,0,0,1.70645,1.70667,2.20,32.26,0,0
05/05/2021 22:56,05/05/2021 23:34,GBPSGD,Sell,0.9,0,0,1.85803,1.85767,3.60,24.25,0,0
05/05/2021 22:23,05/05/2021 22:48,GBPSGD,Buy,0.9,0,0,1.85733,1.85786,5.30,35.70,0,0
05/05/2021 21:01,05/05/2021 22:12,GBPSGD,Sell,0.9,0,0,1.85797,1.85751,4.60,30.99,0,0
05/04/2021 05:53,05/05/2021 19:25,NZDCAD,Buy,0.33,0,0,0.8828,0.88449,16.90,45.46,0,0
05/04/2021 03:10,05/05/2021 18:08,NZDCAD,Buy,0.33,0,0,0.88337,0.88387,5.00,13.46,0,0
05/04/2021 19:09,05/05/2021 16:08,AUDCAD,Buy,0.33,0,0,0.94724,0.95065,34.10,91.64,0,0
05/04/2021 23:24,05/05/2021 05:08,GBPCAD,Buy,1.8,0,0,1.70899,1.70913,1.40,20.51,0,0
05/04/2021 23:24,05/05/2021 01:49,GBPSGD,Buy,0.9,0,0,1.85566,1.85626,6.00,40.41,0,0
05/04/2021 21:00,05/04/2021 23:04,GBPSGD,Sell,0.9,0,0,1.85691,1.85607,8.40,56.57,0,0
05/03/2021 12:24,05/04/2021 19:09,AUDCAD,Sell,0.33,0,0,0.95095,0.94724,37.10,99.44,0,0
05/03/2021 15:25,05/04/2021 15:57,AUDCAD,Sell,0.33,0,0,0.9515,0.94971,17.90,47.98,0,0
