Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
06/25/2021 19:35,06/28/2021 02:16,XAUUSD,Buy,0.5,0,0,1776.96,1782.65,56.90,284.50,0,0
06/25/2021 10:00,06/25/2021 18:03,EURUSD,Sell,0.49,0,0,1.19451,1.1945,0.10,0.49,0,0
06/25/2021 17:15,06/25/2021 18:03,EURUSD,Sell,0.49,0,0,1.19639,1.19447,19.20,94.08,0,0
06/25/2021 05:45,06/25/2021 18:03,EURUSD,Sell,0.49,0,0,1.19388,1.19446,-5.80,-28.42,0,0
06/24/2021 22:51,06/25/2021 08:51,XAUUSD,Buy,0.5,0,0,1774.31,1779.87,55.60,278.00,0,0
06/24/2021 11:00,06/24/2021 17:54,EURUSD,Sell,0.46,0,0,1.19319,1.19209,11.00,50.60,0,0
06/24/2021 07:05,06/24/2021 11:41,XAUUSD,Buy,0.5,0,0,1775.49,1781.48,59.90,299.50,0,0
06/23/2021 17:15,06/23/2021 17:57,EURUSD,Sell,0.43,0,0,1.19617,1.19506,11.10,47.73,0,0
06/22/2021 15:37,06/23/2021 16:44,XAUUSD,Buy,0.5,0,0,1772.86,1789.32,164.60,823.00,0,0
06/22/2021 11:03,06/23/2021 16:44,XAUUSD,Buy,0.5,0,0,1778.25,1789.69,114.40,572.00,0,0
06/22/2021 10:09,06/23/2021 16:44,XAUUSD,Buy,0.5,0,0,1781.17,1789.8,86.30,431.50,0,0
06/23/2021 06:15,06/23/2021 10:59,EURUSD,Buy,0.42,0,0,1.19262,1.19381,11.90,49.98,0,0
06/22/2021 22:00,06/23/2021 04:52,EURUSD,Sell,0.4,0,0,1.19356,1.19246,11.00,44.00,0,0
06/22/2021 08:45,06/22/2021 10:02,EURUSD,Buy,0.35,0,0,1.19022,1.19057,3.50,12.25,0,0
06/22/2021 09:30,06/22/2021 10:02,EURUSD,Buy,0.35,0,0,1.18963,1.1906,9.70,33.95,0,0
06/21/2021 18:00,06/22/2021 08:19,EURUSD,Sell,0.3,0,0,1.19106,1.18995,11.10,33.30,0,0
06/22/2021 02:07,06/22/2021 07:09,BTCUSD,Buy,0.1,0,0,31593.0,32840.0,"12,470.00",124.70,0,0
06/21/2021 17:02,06/21/2021 18:08,XAUUSD,Buy,0.5,0,0,1774.38,1785.34,109.60,548.00,0,0
06/21/2021 17:02,06/21/2021 18:08,XAUUSD,Buy,0.5,0,0,1774.06,1785.44,113.80,569.00,0,0
06/21/2021 11:48,06/21/2021 15:19,XAUUSD,Sell,0.5,0,0,1784.99,1778.79,62.00,310.00,0,0
06/21/2021 11:12,06/21/2021 15:19,XAUUSD,Sell,0.5,0,0,1780.92,1778.74,21.80,109.00,0,0
06/21/2021 11:45,06/21/2021 12:19,USDCAD,Sell,0.24,0,0,1.24576,1.24466,11.00,21.21,0,0
07/29/2021 14:20,07/29/2021 19:17,XAUUSD,Sell,0.5,0,0,1826.91,1832.25,-53.40,-267.00,0,0
07/29/2021 13:15,07/29/2021 18:35,XAUUSD,Sell,0.5,0,0,1823.33,1830.44,-71.10,-355.50,0,0
07/29/2021 11:41,07/29/2021 18:14,XAUUSD,Sell,0.5,0,0,1819.14,1829.59,-104.50,-522.50,0,0
07/29/2021 15:01,07/29/2021 17:16,XAUUSD,Sell,0.5,0,0,1825.89,1828.78,-28.90,-144.50,0,0
07/29/2021 15:22,07/29/2021 15:27,XAUUSD,Sell,0.25,0,0,1825.25,1824.88,3.70,9.25,0,0
07/29/2021 14:13,07/29/2021 14:18,XAUUSD,Sell,1.0,0,0,1823.52,1826.5,-29.80,-298.00,0,0
07/29/2021 08:30,07/29/2021 10:50,XAUUSD,Sell,0.5,0,0,1817.47,1816.66,8.10,40.50,0,0
07/29/2021 10:07,07/29/2021 10:50,XAUUSD,Sell,0.5,0,0,1819.54,1816.64,29.00,145.00,0,0
07/29/2021 10:15,07/29/2021 10:50,XAUUSD,Sell,0.5,0,0,1819.64,1816.63,30.10,150.50,0,0
07/29/2021 04:20,07/29/2021 05:12,XAUUSD,Sell,0.5,0,0,1817.37,1815.23,21.40,107.00,0,0
07/28/2021 16:43,07/28/2021 21:41,XAUUSD,Buy,0.5,0,0,1797.04,1803.48,64.40,322.00,0,0
07/28/2021 16:40,07/28/2021 21:00,XAUUSD,Buy,1.5,0,0,1796.05,1793.84,-22.10,-331.50,0,0
07/28/2021 09:50,07/28/2021 14:49,XAUUSD,Buy,5.0,0,0,1804.29,1797.07,-72.20,"-3,610.00",0,0
07/28/2021 10:33,07/28/2021 12:44,XAUUSD,Buy,5.0,0,0,1804.39,1798.93,-54.60,"-2,730.00",0,0
07/27/2021 04:44,07/28/2021 11:06,XAUUSD,Buy,0.5,0,0,1797.25,1801.56,43.10,215.50,0,0
07/26/2021 22:56,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.3,1801.54,42.40,212.00,0,0
07/27/2021 04:44,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.32,1801.43,41.10,205.50,0,0
07/27/2021 04:44,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.33,1801.49,41.60,208.00,0,0
07/26/2021 22:56,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.37,1801.47,41.00,205.00,0,0
07/26/2021 22:56,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.42,1801.54,41.20,206.00,0,0
07/26/2021 22:57,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.43,1801.49,40.60,203.00,0,0
07/26/2021 22:57,07/28/2021 11:05,XAUUSD,Buy,0.5,0,0,1797.44,1801.44,40.00,200.00,0,0
07/27/2021 12:42,07/28/2021 11:04,XAUUSD,Buy,0.5,0,0,1797.51,1801.76,42.50,212.50,0,0
07/26/2021 22:57,07/28/2021 11:04,XAUUSD,Buy,0.5,0,0,1797.55,1801.82,42.70,213.50,0,0
07/26/2021 22:58,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.55,1801.99,44.40,222.00,0,0
07/26/2021 17:21,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.56,1801.95,43.90,219.50,0,0
07/26/2021 22:59,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.59,1802.12,45.30,226.50,0,0
07/27/2021 11:07,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.59,1802.03,44.40,222.00,0,0
07/26/2021 23:06,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.61,1802.02,44.10,220.50,0,0
07/27/2021 11:07,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.63,1802.02,43.90,219.50,0,0
07/26/2021 22:59,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.64,1801.99,43.50,217.50,0,0
07/26/2021 22:59,07/28/2021 11:02,XAUUSD,Buy,0.5,0,0,1797.65,1802.17,45.20,226.00,0,0
07/27/2021 04:44,07/28/2021 11:00,XAUUSD,Buy,0.5,0,0,1797.25,1802.07,48.20,241.00,0,0
07/27/2021 11:29,07/28/2021 11:00,XAUUSD,Buy,0.5,0,0,1796.61,1802.01,54.00,270.00,0,0
07/28/2021 08:01,07/28/2021 09:08,XAUUSD,Buy,5.0,0,0,1804.93,1805.9,9.70,485.00,0,0
07/28/2021 08:15,07/28/2021 09:08,XAUUSD,Buy,3.0,0,0,1804.74,1805.82,10.80,324.00,0,0
07/28/2021 05:07,07/28/2021 06:04,XAUUSD,Buy,5.0,0,0,1801.55,1805.68,41.30,"2,065.00",0,0
07/26/2021 23:06,07/27/2021 17:54,XAUUSD,Buy,0.5,0,0,1797.66,1794.63,-30.30,-151.50,0,0
07/26/2021 23:05,07/27/2021 17:54,XAUUSD,Buy,0.5,0,0,1797.68,1794.71,-29.70,-148.50,0,0
07/27/2021 11:07,07/27/2021 17:54,XAUUSD,Buy,0.5,0,0,1797.69,1794.81,-28.80,-144.00,0,0
07/26/2021 23:06,07/27/2021 17:54,XAUUSD,Buy,0.5,0,0,1797.69,1794.88,-28.10,-140.50,0,0
07/27/2021 07:43,07/27/2021 17:33,XAUUSD,Buy,0.5,0,0,1797.7,1794.93,-27.70,-138.50,0,0
07/27/2021 12:42,07/27/2021 17:33,XAUUSD,Buy,0.5,0,0,1797.84,1795.02,-28.20,-141.00,0,0
07/26/2021 17:16,07/27/2021 17:33,XAUUSD,Buy,0.5,0,0,1798.03,1795.1,-29.30,-146.50,0,0
07/27/2021 12:42,07/27/2021 17:33,XAUUSD,Buy,0.5,0,0,1797.85,1795.1,-27.50,-137.50,0,0
07/27/2021 09:35,07/27/2021 17:30,XAUUSD,Buy,0.5,0,0,1795.25,1796.0,7.50,37.50,0,0
07/27/2021 16:57,07/27/2021 17:30,XAUUSD,Buy,5.0,0,0,1800.53,1795.69,-48.40,"-2,420.00",0,0
07/27/2021 09:47,07/27/2021 17:29,XAUUSD,Buy,0.5,0,0,1794.56,1796.27,17.10,85.50,0,0
07/27/2021 11:22,07/27/2021 17:29,XAUUSD,Buy,0.5,0,0,1796.03,1796.4,3.70,18.50,0,0
07/27/2021 11:22,07/27/2021 17:29,XAUUSD,Buy,0.5,0,0,1796.23,1796.36,1.30,6.50,0,0
07/23/2021 12:30,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1803.0,1800.0,-30.00,-300.00,0,0
07/23/2021 12:56,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1801.84,1800.0,-18.40,-184.00,0,0
07/23/2021 12:57,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1801.77,1800.0,-17.70,-177.00,0,0
07/23/2021 12:58,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1801.16,1800.0,-11.60,-116.00,0,0
07/23/2021 13:01,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1801.17,1800.0,-11.70,-117.00,0,0
07/23/2021 13:01,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1801.06,1800.0,-10.60,-106.00,0,0
07/23/2021 13:01,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1800.93,1800.0,-9.30,-93.00,0,0
07/23/2021 13:01,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1800.85,1800.0,-8.50,-85.00,0,0
07/23/2021 13:02,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1800.67,1800.0,-6.70,-67.00,0,0
07/23/2021 13:02,07/23/2021 13:02,XAUUSD,Buy,1.0,0,0,1800.87,1800.0,-8.70,-87.00,0,0
07/22/2021 18:30,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.35,1810.5,-31.50,-315.00,0,0
07/22/2021 18:30,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.35,1810.5,-31.50,-315.00,0,0
07/22/2021 18:32,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.54,1810.5,-29.60,-296.00,0,0
07/22/2021 18:32,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.54,1810.5,-29.60,-296.00,0,0
07/22/2021 18:32,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.54,1810.5,-29.60,-296.00,0,0
07/22/2021 18:33,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.75,1810.5,-27.50,-275.00,0,0
07/22/2021 18:33,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.71,1810.5,-27.90,-279.00,0,0
07/22/2021 18:33,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.66,1810.5,-28.40,-284.00,0,0
07/22/2021 18:33,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.76,1810.5,-27.40,-274.00,0,0
07/22/2021 18:33,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.84,1810.5,-26.60,-266.00,0,0
07/22/2021 18:34,07/23/2021 10:58,XAUUSD,Sell,1.0,0,0,1807.83,1810.5,-26.70,-267.00,0,0
