Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
14.07.2020 12:51:04,14.07.2020 13:05:32,EURUSD,Sell,0.01,0,1.13519,1.13644,1.13597,4.7,0.47,00:00:14:28,0.06%
14.07.2020 12:51:00,14.07.2020 13:05:31,EURUSD,Sell,0.01,0,1.13519,1.13643,1.13597,4.6,0.46,00:00:14:31,0.06%
14.07.2020 12:50:57,14.07.2020 13:05:30,EURUSD,Sell,0.01,0,1.13519,1.13646,1.13598,4.8,0.48,00:00:14:33,0.06%
14.07.2020 12:50:54,14.07.2020 13:05:29,EURUSD,Sell,0.01,0,1.13519,1.13642,1.13598,4.4,0.44,00:00:14:35,0.06%
14.07.2020 12:50:51,14.07.2020 13:05:28,EURUSD,Sell,0.01,0,1.13519,1.13642,1.13598,4.4,0.44,00:00:14:37,0.06%
14.07.2020 12:50:46,14.07.2020 13:05:27,EURUSD,Sell,0.01,0,1.13519,1.13637,1.13597,4,0.4,00:00:14:41,0.05%
14.07.2020 12:50:48,14.07.2020 13:05:27,EURUSD,Sell,0.01,0,1.13519,1.13639,1.13598,4.1,0.41,00:00:14:39,0.05%
14.07.2020 12:50:42,14.07.2020 13:05:26,EURUSD,Sell,0.01,0,1.13519,1.13637,1.13595,4.2,0.42,00:00:14:44,0.06%
13.07.2020 09:15:45,13.07.2020 11:27:19,EURUSD,Sell,0.01,0,1.13023,1.13233,1.13099,13.4,1.34,00:02:11:34,0.18%
13.07.2020 09:15:43,13.07.2020 11:27:18,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13099,13.1,1.31,00:02:11:35,0.18%
13.07.2020 09:15:40,13.07.2020 11:27:17,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13098,13.2,1.32,00:02:11:37,0.18%
13.07.2020 09:15:37,13.07.2020 11:27:16,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13098,13.2,1.32,00:02:11:39,0.18%
13.07.2020 09:15:34,13.07.2020 11:27:15,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13098,13.2,1.32,00:02:11:41,0.18%
13.07.2020 09:15:28,13.07.2020 11:27:14,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13099,13.1,1.31,00:02:11:46,0.18%
13.07.2020 09:15:32,13.07.2020 11:27:14,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13099,13.1,1.31,00:02:11:42,0.18%
13.07.2020 09:15:25,13.07.2020 11:27:13,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13099,13.1,1.31,00:02:11:48,0.18%
13.07.2020 09:15:23,13.07.2020 11:27:11,EURUSD,Sell,0.01,0,1.13023,1.1323,1.13099,13.1,1.31,00:02:11:48,0.18%
13.07.2020 09:15:20,13.07.2020 11:27:10,EURUSD,Sell,0.01,0,1.13023,1.1323,1.131,13,1.3,00:02:11:50,0.18%
10.07.2020 08:40:57,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12662,1.12899,23.7,2.37,00:02:46:19,0.33%
10.07.2020 08:41:00,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12661,1.12899,23.8,2.38,00:02:46:16,0.33%
10.07.2020 08:41:03,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12661,1.12899,23.8,2.38,00:02:46:13,0.33%
10.07.2020 08:41:06,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12662,1.12899,23.7,2.37,00:02:46:10,0.33%
10.07.2020 08:41:08,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12662,1.12899,23.7,2.37,00:02:46:08,0.32%
10.07.2020 08:40:51,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12662,1.12899,23.7,2.37,00:02:46:25,0.33%
10.07.2020 08:40:54,10.07.2020 11:27:16,EURUSD,Buy,0.01,0,1.12899,1.12662,1.12899,23.7,2.37,00:02:46:22,0.33%
08.07.2020 16:56:56,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13258,1.13071,18.7,1.9,01:00:47:32,0.27%
08.07.2020 16:56:59,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13262,1.13071,19.1,1.94,01:00:47:29,0.28%
08.07.2020 16:57:02,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13259,1.13071,18.8,1.91,01:00:47:26,0.27%
08.07.2020 16:57:04,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13261,1.13071,19,1.93,01:00:47:24,0.27%
08.07.2020 16:57:07,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13259,1.13071,18.8,1.91,01:00:47:21,0.27%
08.07.2020 16:57:10,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13259,1.13071,18.8,1.91,01:00:47:18,0.27%
08.07.2020 16:57:12,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.1326,1.13071,18.9,1.92,01:00:47:16,0.27%
08.07.2020 16:56:53,09.07.2020 17:44:28,EURUSD,Sell,0.01,0,1.13071,1.13263,1.13071,19.2,1.95,01:00:47:35,0.28%
07.07.2020 12:26:53,07.07.2020 13:17:22,EURUSD,Buy,0.01,0,1.129,1.12658,1.12771,11.3,1.13,00:00:50:29,0.16%
07.07.2020 12:26:50,07.07.2020 13:17:21,EURUSD,Buy,0.01,0,1.129,1.12674,1.12777,10.3,1.03,00:00:50:31,0.15%
07.07.2020 12:26:47,07.07.2020 13:17:20,EURUSD,Buy,0.01,0,1.129,1.12671,1.12776,10.5,1.05,00:00:50:33,0.15%
07.07.2020 12:26:41,07.07.2020 13:17:19,EURUSD,Buy,0.01,0,1.129,1.12672,1.12778,10.6,1.06,00:00:50:38,0.15%
07.07.2020 12:26:44,07.07.2020 13:17:19,EURUSD,Buy,0.01,0,1.129,1.1267,1.12778,10.8,1.08,00:00:50:35,0.15%
07.07.2020 11:09:17,07.07.2020 12:24:45,EURUSD,Sell,0.01,0,1.12479,1.12833,1.12691,14.2,1.42,00:01:15:28,0.20%
07.07.2020 11:09:15,07.07.2020 12:24:44,EURUSD,Sell,0.01,0,1.12479,1.12836,1.12691,14.5,1.45,00:01:15:29,0.21%
07.07.2020 11:09:12,07.07.2020 12:24:43,EURUSD,Sell,0.01,0,1.12479,1.12835,1.1269,14.5,1.45,00:01:15:31,0.21%
07.07.2020 11:09:09,07.07.2020 12:24:42,EURUSD,Sell,0.01,0,1.12479,1.12838,1.1269,14.8,1.48,00:01:15:33,0.21%
07.07.2020 11:09:07,07.07.2020 12:24:41,EURUSD,Sell,0.01,0,1.12479,1.12835,1.1269,14.5,1.45,00:01:15:34,0.21%
07.07.2020 11:09:05,07.07.2020 12:24:40,EURUSD,Sell,0.01,0,1.12479,1.12834,1.1269,14.4,1.44,00:01:15:35,0.21%
06.07.2020 14:38:13,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.1311,1.12873,23.7,2.38,00:19:44:58,0.36%
06.07.2020 14:38:16,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13115,1.12873,24.2,2.43,00:19:44:55,0.37%
06.07.2020 14:38:19,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13115,1.12873,24.2,2.43,00:19:44:52,0.36%
06.07.2020 14:38:22,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13117,1.12873,24.4,2.45,00:19:44:49,0.37%
06.07.2020 14:38:25,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13117,1.12873,24.4,2.45,00:19:44:46,0.36%
06.07.2020 14:38:28,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13118,1.12873,24.5,2.46,00:19:44:43,0.36%
06.07.2020 14:38:31,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13118,1.12873,24.5,2.46,00:19:44:40,0.36%
06.07.2020 14:38:33,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13119,1.12873,24.6,2.47,00:19:44:38,0.36%
06.07.2020 14:38:36,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13123,1.12873,25,2.51,00:19:44:35,0.37%
06.07.2020 14:38:39,07.07.2020 10:23:11,EURUSD,Sell,0.01,0,1.12873,1.13123,1.12873,25,2.51,00:19:44:32,0.37%
03.07.2020 11:21:43,03.07.2020 17:47:49,EURUSD,Buy,0.01,0,1.12461,1.12385,1.12461,7.6,0.76,00:06:26:06,0.12%
03.07.2020 11:21:47,03.07.2020 17:47:49,EURUSD,Buy,0.01,0,1.12461,1.1239,1.12461,7.1,0.71,00:06:26:02,0.11%
03.07.2020 11:21:50,03.07.2020 17:47:49,EURUSD,Buy,0.01,0,1.12461,1.12395,1.12461,6.6,0.66,00:06:25:59,0.10%
03.07.2020 11:21:53,03.07.2020 17:47:49,EURUSD,Buy,0.01,0,1.12461,1.12395,1.12461,6.6,0.66,00:06:25:56,0.10%
03.07.2020 11:21:56,03.07.2020 17:47:49,EURUSD,Buy,0.01,0,1.12461,1.12405,1.12461,5.6,0.56,00:06:25:53,0.08%
02.07.2020 08:08:30,02.07.2020 17:34:01,EURUSD,Sell,0.01,0,1.12385,1.12622,1.12385,23.7,2.37,00:09:25:31,0.37%
02.07.2020 08:08:33,02.07.2020 17:34:01,EURUSD,Sell,0.01,0,1.12385,1.12623,1.12385,23.8,2.38,00:09:25:28,0.37%
