Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
04/08/2020 17:00,04/08/2020 22:00,EURUSD,Sell,0.66,0,0,1.08613,1.08774,0,0,0,0
04/07/2020 09:00,04/07/2020 15:00,EURUSD,Sell,0.71,0,0,1.09028,1.08674,0,0,0,0
04/06/2020 02:00,04/06/2020 03:46,EURUSD,Sell,0.7,0,0,1.07984,1.07891,0,0,0,0
04/02/2020 19:00,04/02/2020 23:51,EURUSD,Sell,0.65,0,0,1.08429,1.08075,0,0,0,0
04/01/2020 15:00,04/02/2020 07:38,EURUSD,Sell,0.32,0,0,1.09422,1.08322,0,0,0,0
03/30/2020 19:00,03/31/2020 00:55,EURUSD,Sell,0.52,0,0,1.10159,1.09559,0,0,0,0
03/30/2020 14:00,03/30/2020 14:55,EURUSD,Sell,0.49,0,0,1.10289,1.10051,0,0,0,0
03/29/2020 20:00,03/30/2020 01:23,EURUSD,Sell,0.55,0,0,1.11011,1.10517,0,0,0,0
03/27/2020 04:00,03/27/2020 07:53,EURUSD,Sell,0.27,0,0,1.09829,1.10936,0,0,0,0
03/24/2020 10:00,03/25/2020 09:32,EURUSD,Sell,0.24,0,0,1.07723,1.08825,0,0,0,0
03/23/2020 14:00,03/24/2020 00:13,EURUSD,Sell,0.2,0,0,1.07642,1.08746,0,0,0,0
03/23/2020 14:00,03/23/2020 15:23,EURUSD,Sell,0.36,0,0,1.07642,1.08023,0,0,0,0
03/18/2020 15:00,03/18/2020 17:04,EURUSD,Sell,0.36,0,0,1.08997,1.08991,0,0,0,0
03/18/2020 02:00,03/18/2020 02:34,EURUSD,Sell,0.3,0,0,1.09764,1.09754,0,0,0,0
03/17/2020 15:00,03/17/2020 19:32,EURUSD,Sell,0.4,0,0,1.09920,1.10420,0,0,0,0
03/15/2020 20:00,03/15/2020 21:37,EURUSD,Sell,0.45,0,0,1.11180,1.11680,0,0,0,0
03/15/2020 15:00,03/15/2020 15:26,EURUSD,Sell,0.44,0,0,1.11174,1.11060,0,0,0,0
03/10/2020 22:00,03/12/2020 01:29,EURUSD,Sell,0.22,0,0,1.13282,1.12181,0,0,0,0
