Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
01/07/2022 17:25,01/07/2022 22:00,EURUSD,Buy,0.12,1.11467,1.1386399999999999,1.13467,1.13624,15.7,18.0,00:04:34:46,0.50%
01/07/2022 16:30,01/07/2022 17:10,EURUSD,Buy,0.02,1.1123399999999999,1.13501,1.13234,1.1336899999999999,13.5,2.56,00:00:40:10,0.07%
01/06/2022 23:42,01/07/2022 01:46,EURUSD,Sell,0.04,1.13576,1.12929,1.12976,1.12944,3.2,1.01,00:02:03:47,0.03%
01/05/2022 22:01,01/06/2022 03:46,EURUSD,Buy,0.12,1.11582,1.13981,1.1308200000000002,1.1315600000000001,7.4,6.67,00:05:45:27,0.19%
01/04/2022 17:45,01/04/2022 18:15,EURUSD,Buy,0.02,1.11222,1.1362700000000001,1.13222,1.13039,-18.3,-3.8,00:00:30:04,-0.11%
01/03/2022 17:30,01/04/2022 17:45,EURUSD,Sell,0.06,1.14959,1.10659,1.1295899999999999,1.13222,-26.3,-16.19,01:00:15:00,-0.45%
01/03/2022 17:15,01/04/2022 14:24,EURUSD,Sell,0.01,1.15042,1.12507,1.13042,1.12741,30.1,2.94,00:21:08:58,0.08%
12/23/2021 23:09,12/24/2021 04:32,EURUSD,Buy,0.07,1.12691,1.13323,1.13291,1.1326200000000002,-2.9,-2.79,00:05:23:05,-0.08%
12/22/2021 23:58,12/23/2021 02:02,EURUSD,Buy,0.07,1.1267,1.1330799999999999,1.13271,1.13284,1.3,-0.38,00:02:04:46,-0.01%
12/21/2021 23:56,12/22/2021 00:06,EURUSD,Sell,0.08,1.1343299999999998,1.1280299999999999,1.1283299999999998,1.1284399999999999,-1.1,-1.43,00:00:09:51,-0.04%
12/17/2021 18:01,12/17/2021 22:00,EURUSD,Sell,0.03,1.14715,1.1210799999999999,1.12715,1.12516,19.9,5.76,00:03:58:49,0.16%
12/17/2021 18:01,12/17/2021 22:00,EURUSD,Sell,0.02,1.14714,1.10414,1.12714,1.1251799999999998,19.6,3.78,00:03:58:49,0.11%
12/16/2021 22:31,12/17/2021 03:06,EURUSD,Sell,0.01,1.14822,1.12885,1.1332200000000001,1.1327399999999999,4.8,0.41,00:04:35:17,0.01%
12/16/2021 16:15,12/16/2021 17:30,EURUSD,Buy,0.06,1.11476,1.1577600000000001,1.13476,1.13044,-43.2,-26.34,00:01:14:58,-0.75%
12/16/2021 16:00,12/16/2021 16:45,EURUSD,Buy,0.01,1.11591,1.1420700000000001,1.13591,1.13321,-27.0,-2.77,00:00:45:00,-0.08%
12/15/2021 22:45,12/16/2021 16:00,EURUSD,Buy,0.06,1.1291799999999999,0.0,1.1291799999999999,1.13591,67.3,39.27,00:17:15:00,1.13%
12/15/2021 22:49,12/16/2021 10:58,EURUSD,Buy,0.02,1.10858,1.1348200000000002,1.12858,1.1317,31.2,5.87,00:12:09:25,0.17%
12/15/2021 22:15,12/15/2021 22:34,EURUSD,Buy,0.03,1.10745,1.13215,1.12745,1.12981,23.6,6.87,00:00:19:15,0.20%
12/15/2021 21:30,12/15/2021 22:00,EURUSD,Sell,0.12,1.14316,1.11871,1.12316,1.1271799999999998,-40.2,-49.08,00:00:30:00,-1.39%
12/14/2021 18:00,12/15/2021 17:52,EURUSD,Sell,0.03,1.14729,1.12267,1.12729,1.12497,23.2,6.75,00:23:52:28,0.19%
12/14/2021 12:30,12/14/2021 16:30,EURUSD,Buy,0.12,1.11104,1.13501,1.13104,1.12962,-14.2,-17.88,00:04:00:01,-0.51%
12/13/2021 23:00,12/13/2021 23:08,EURUSD,Buy,0.02,1.12224,1.1286,1.12824,1.1286,3.6,0.58,00:00:08:05,0.02%
12/10/2021 16:20,12/10/2021 17:14,EURUSD,Buy,0.12,1.10851,1.13216,1.1285100000000001,1.13039,18.8,21.72,00:00:53:50,0.62%
12/09/2021 18:00,12/10/2021 05:00,EURUSD,Sell,0.12,1.14839,1.1236899999999999,1.12839,1.1301700000000001,-17.8,-22.18,00:11:00:00,-0.63%
12/08/2021 17:30,12/09/2021 17:00,EURUSD,Buy,0.12,1.11269,1.13755,1.13269,1.13026,-24.3,-31.42,00:23:30:00,-0.88%
12/08/2021 18:15,12/09/2021 11:30,EURUSD,Buy,0.01,1.1135700000000002,1.15657,1.13357,1.1315600000000001,-20.1,-2.2,00:17:14:58,-0.06%
12/08/2021 23:22,12/09/2021 01:53,EURUSD,Buy,0.12,1.12855,1.13496,1.13457,1.1345399999999999,-0.3,-2.62,00:02:30:33,-0.07%
12/07/2021 23:00,12/08/2021 07:11,EURUSD,Sell,0.02,1.13276,1.12637,1.12676,1.12893,-21.7,-4.47,00:08:11:08,-0.12%
12/07/2021 11:15,12/07/2021 12:00,EURUSD,Sell,0.12,1.14586,1.12222,1.12586,1.12747,-16.1,-20.16,00:00:45:00,-0.56%
12/06/2021 23:51,12/07/2021 01:15,EURUSD,Sell,0.11,1.1345399999999999,1.12824,1.1285399999999999,1.12835,1.9,1.35,00:01:23:35,0.04%
11/30/2021 18:00,11/30/2021 19:45,EURUSD,Sell,0.04,1.14598,1.1029799999999998,1.12598,1.13073,-47.5,-19.28,00:01:45:03,-0.55%
11/30/2021 18:00,11/30/2021 19:45,EURUSD,Sell,0.02,1.14596,1.10296,1.12596,1.13073,-47.7,-9.68,00:01:45:02,-0.27%
11/30/2021 18:07,11/30/2021 19:45,EURUSD,Sell,0.12,1.14629,1.11552,1.12629,1.1307399999999999,-44.5,-54.24,00:01:37:46,-1.52%
11/30/2021 17:45,11/30/2021 17:52,EURUSD,Sell,0.02,1.15225,1.1251200000000001,1.13225,1.1287200000000002,35.3,6.92,00:00:07:12,0.19%
11/30/2021 11:00,11/30/2021 17:35,EURUSD,Buy,0.06,1.13491,0.0,1.13491,1.13489,-0.2,-0.54,00:06:35:42,-0.02%
11/30/2021 11:00,11/30/2021 16:45,EURUSD,Buy,0.02,1.1149,1.14089,1.1349,1.13795,30.5,5.96,00:05:45:50,0.17%
11/29/2021 23:33,11/30/2021 16:45,EURUSD,Sell,0.03,1.14386,1.12469,1.12886,1.13742,-85.6,-25.88,00:17:12:00,-0.72%
11/29/2021 23:27,11/30/2021 02:45,EURUSD,Sell,0.02,1.13434,1.1279700000000001,1.12834,1.1286399999999999,-3.0,-0.73,00:03:17:12,-0.02%
