Open Date,Close Date,Symbol,Action,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/20/2020 14:46,04/20/2020 15:19,EURUSD,Buy,0.00000,0.00000,1.08535,1.08559,0.0000,0.0000,2.4,571.20,0.22,0,00:00:32:21,3.1,1m,0.0,0.42,2.4,571.1999999999999,0.0,0.0,100.0,100.0,0.00,0.00
04/17/2020 20:40,04/17/2020 21:08,USDCAD,Buy,0.00000,0.00000,1.40152,1.40180,0.0000,0.0000,2.8,475.36,0.19,0,00:00:27:59,3.6,1m,0.0,1.00,0.0,0.0,0.0,0.0,0,0,2.80,475.36
04/17/2020 13:25,04/17/2020 14:01,USDCHF,Sell,0.00000,0.00000,0.97155,0.97049,0.0000,0.0000,10.6,2599.59,1.03,0,00:00:36:17,100.0,36m,42.7,0.02,53.3,13071.292,0.0,0.0,100.0,19.9,-42.70,-10471.75
04/17/2020 09:27,04/17/2020 09:53,USDCAD,Buy,0.00000,0.00000,1.40536,1.40436,0.0000,0.0000,-10.0,-1694.73,-0.66,0,00:00:26:07,96.2,25m,72.8,0.16,62.8,10642.716,-10.0,-1694.7,86.3,0.0,-72.80,-12337.42
04/17/2020 06:02,04/17/2020 06:35,GBPUSD,Sell,0.00000,0.00000,1.25077,1.25002,0.0000,0.0000,7.5,1785.00,0.70,0,00:00:32:58,100.0,32m,33.6,0.02,41.1,9781.800000000001,0.0,0.0,100.0,18.2,-33.60,-7996.80
04/16/2020 17:32,04/16/2020 17:52,AUDUSD,Buy,0.00000,0.00000,0.63211,0.63144,0.0000,0.0000,-6.7,-1594.60,-0.63,0,00:00:20:27,0.0,0s,6.7,6.70,0.0,0.0,-6.7,-1594.6000000000001,0.0,0.0,-6.70,-1594.60
04/16/2020 16:17,04/16/2020 16:48,EURUSD,Buy,0.00000,0.00000,1.08757,1.08792,0.0000,0.0000,3.5,833.00,0.33,0,00:00:31:06,3.3,1m,0.0,0.29,3.5,833.0,0.0,0.0,100.0,100.0,0.00,0.00
04/16/2020 14:32,04/16/2020 15:05,NZDUSD,Sell,0.00000,0.00000,0.59823,0.59813,0.0000,0.0000,1.0,238.00,0.09,0,00:00:32:34,3.1,1m,0.0,1.00,1.0,238.0,0.0,0.0,100.0,100.0,0.00,0.00
04/16/2020 10:55,04/16/2020 11:27,USDJPY,Sell,0.00000,0.00000,107.82100,107.78000,0.0000,0.0000,4.1,905.43,0.36,0,00:00:31:53,3.2,1m,0.0,0.24,4.1,905.444,0.0,0.0,100.0,100.0,0.00,0.00
04/15/2020 17:47,04/15/2020 18:04,USDCHF,Buy,0.00000,0.00000,0.96593,0.96512,0.0000,0.0000,-8.1,-1997.59,-0.78,0,00:00:16:40,0.0,0s,21.3,21.32,0.0,0.0,-21.3,-5253.006,0.0,62.0,-8.10,-1997.62
04/15/2020 13:46,04/15/2020 14:22,EURUSD,Buy,0.00000,0.00000,1.09052,1.09121,0.0000,0.0000,6.9,1642.20,0.65,0,00:00:35:34,2.8,59s,37.2,5.39,6.9,1642.2,-37.2,-8853.6,15.6,100.0,0.00,0.00
04/15/2020 10:22,04/15/2020 10:47,AUDUSD,Sell,0.00000,0.00000,0.63431,0.63399,0.0000,0.0000,3.2,761.60,0.30,0,00:00:25:04,100.0,25m,26.6,0.03,29.8,7092.400000000001,0.0,0.0,100.0,10.7,-26.60,-6330.80
04/15/2020 07:32,04/15/2020 08:09,USDCAD,Buy,0.00000,0.00000,1.39004,1.39028,0.0000,0.0000,2.4,410.85,0.16,0,00:00:36:31,2.8,1m,0.0,0.42,2.4,410.856,0.0,0.0,100.0,100.0,0.00,0.00
04/14/2020 17:27,04/14/2020 18:00,USDCAD,Buy,0.00000,0.00000,1.38833,1.38898,0.0000,0.0000,6.5,1113.81,0.44,0,00:00:32:36,100.0,32m,18.7,0.04,25.2,4318.272,0.0,0.0,100.0,25.8,-18.70,-3204.43
04/14/2020 15:30,04/14/2020 15:49,USDJPY,Buy,0.00000,0.00000,107.26800,107.30800,0.0000,0.0000,4.0,887.18,0.35,0,00:00:19:03,5.3,1m,15.6,3.90,4.0,887.2,-15.6,-3460.08,20.4,100.0,0.00,0.00
04/14/2020 10:32,04/14/2020 11:09,GBPUSD,Sell,0.00000,0.00000,1.25633,1.25598,0.0000,0.0000,3.5,833.00,0.33,0,00:00:37:31,2.8,1m,0.0,0.29,3.5,833.0,0.0,0.0,100.0,100.0,0.00,0.00
04/14/2020 09:09,04/14/2020 09:30,EURUSD,Sell,0.00000,0.00000,1.09335,1.09361,0.0000,0.0000,-2.6,-618.80,-0.25,0,00:00:20:18,57.2,11m,14.0,0.84,7.6,1808.8,-6.4,-1523.2,54.3,27.1,-10.20,-2427.60
04/13/2020 17:55,04/13/2020 18:15,USDCHF,Buy,0.00000,0.00000,0.96799,0.96840,0.0000,0.0000,4.1,1007.69,0.41,0,00:00:20:26,5.0,1m,0.0,0.24,4.1,1007.6979999999999,0.0,0.0,100.0,100.0,0.00,0.00
04/13/2020 15:13,04/13/2020 15:49,USDCAD,Buy,0.00000,0.00000,1.39587,1.39666,0.0000,0.0000,7.9,1346.17,0.54,0,00:00:36:00,94.5,34m,26.5,0.12,23.6,4021.4400000000005,-2.9,-494.16,89.1,40.8,-15.70,-2675.28
04/13/2020 11:31,04/13/2020 12:14,AUDUSD,Buy,0.00000,0.00000,0.63465,0.63437,0.0000,0.0000,-2.8,-666.40,-0.27,0,00:00:43:18,97.7,42m,22.6,0.14,19.8,4712.400000000001,-2.8,-666.4,87.6,0.0,-22.60,-5378.80
04/09/2020 17:04,04/09/2020 17:20,USDCHF,Sell,0.00000,0.00000,0.96812,0.96794,0.0000,0.0000,1.8,442.61,0.18,0,00:00:16:25,,,,,,,,,,,,
04/09/2020 15:33,04/09/2020 16:16,USDJPY,Sell,0.00000,0.00000,108.85500,108.83800,0.0000,0.0000,1.7,371.79,0.15,0,00:00:43:31,100.0,43m,46.4,0.02,48.1,10519.47,0.0,0.0,100.0,3.5,-46.40,-10147.68
04/09/2020 11:06,04/09/2020 11:29,EURUSD,Buy,0.00000,0.00000,1.08721,1.08704,0.0000,0.0000,-1.7,-404.60,-0.16,0,00:00:22:53,0.0,0s,18.2,18.21,0.0,0.0,-18.2,-4331.599999999999,0.0,90.7,-1.70,-404.60
04/09/2020 09:03,04/09/2020 09:42,AUDUSD,Buy,0.00000,0.00000,0.62052,0.62122,0.0000,0.0000,7.0,1666.00,0.68,0,00:00:38:40,100.0,38m,21.2,0.04,28.2,6711.599999999999,0.0,0.0,100.0,24.8,-21.20,-5045.60
04/08/2020 17:22,04/08/2020 17:44,NZDUSD,Buy,0.00000,0.00000,0.59933,0.59911,0.0000,0.0000,-2.2,-523.60,-0.21,0,00:00:21:29,0.0,0s,2.2,2.20,0.0,0.0,-2.2,-523.6,0.0,0.0,-2.20,-523.60
04/08/2020 15:28,04/08/2020 15:59,USDCHF,Buy,0.00000,0.00000,0.97081,0.97061,0.0000,0.0000,-2.0,-490.42,-0.20,0,00:00:30:31,0.0,0s,2.0,2.00,0.0,0.0,-2.0,-490.42,0.0,0.0,-2.00,-490.42
04/08/2020 12:10,04/08/2020 12:37,USDCHF,Sell,0.00000,0.00000,0.97124,0.97095,0.0000,0.0000,2.9,710.90,0.29,0,00:00:27:18,100.0,27m,5.3,0.16,6.3,1544.3819999999998,0.0,0.0,100.0,46.0,-3.40,-833.48
04/08/2020 10:02,04/08/2020 10:27,USDJPY,Buy,0.00000,0.00000,108.78400,108.80900,0.0000,0.0000,2.5,546.85,0.22,0,00:00:24:57,100.0,24m,5.0,0.13,7.5,1640.5500000000002,0.0,0.0,100.0,33.3,-5.00,-1093.70
04/07/2020 17:49,04/07/2020 18:07,USDCAD,Buy,0.00000,0.00000,1.40195,1.40056,0.0000,0.0000,-13.9,-2361.92,-0.95,0,00:00:17:52,0.0,0s,13.9,13.91,0.0,0.0,-13.9,-2361.888,0.0,0.0,-13.90,-2361.89
04/07/2020 13:21,04/07/2020 13:58,EURUSD,Sell,0.00000,0.00000,1.08895,1.08810,0.0000,0.0000,8.5,2023.00,0.82,0,00:00:36:34,2.8,1m,25.2,2.96,8.5,2023.0,-25.2,-5997.599999999999,25.2,100.0,0.00,0.00
04/07/2020 07:16,04/07/2020 07:51,USDCHF,Sell,0.00000,0.00000,0.97668,0.97591,0.0000,0.0000,7.7,1877.81,0.77,0,00:00:34:48,100.0,34m,33.5,0.02,41.2,10047.444000000001,0.0,0.0,100.0,18.7,-33.50,-8169.65
04/07/2020 05:27,04/07/2020 06:03,NZDUSD,Buy,0.00000,0.00000,0.59557,0.59533,0.0000,0.0000,-2.4,-571.20,-0.23,0,00:00:35:54,97.3,34m,36.5,0.07,34.1,8115.8,-2.4,-571.1999999999999,93.4,0.0,-36.50,-8687.00
04/06/2020 18:09,04/06/2020 18:40,USDJPY,Buy,0.00000,0.00000,109.06200,109.03600,0.0000,0.0000,-2.6,-567.50,-0.23,0,00:00:31:15,0.0,0s,11.7,11.71,0.0,0.0,-11.7,-2553.759,0.0,77.8,-2.60,-567.50
04/06/2020 15:12,04/06/2020 15:48,USDCAD,Sell,0.00000,0.00000,1.41522,1.41471,0.0000,0.0000,5.1,857.99,0.35,0,00:00:35:44,100.0,35m,23.0,0.04,28.1,4727.263,0.0,0.0,100.0,18.1,-23.00,-3869.29
04/06/2020 11:00,04/06/2020 11:30,AUDUSD,Sell,0.00000,0.00000,0.60551,0.60513,0.0000,0.0000,3.8,904.40,0.37,0,00:00:29:42,16.7,4m,27.8,7.32,3.8,904.4,-27.8,-6616.400000000001,12.0,100.0,0.00,0.00
04/03/2020 10:22,04/03/2020 10:39,NZDUSD,Buy,0.00000,0.00000,0.58828,0.58879,0.0000,0.0000,5.1,1213.80,0.50,0,00:00:16:09,5.9,57s,0.0,0.20,5.1,1213.8,0.0,0.0,100.0,100.0,0.00,0.00
04/03/2020 08:30,04/03/2020 08:57,EURUSD,Buy,0.00000,0.00000,1.08457,1.08441,0.0000,0.0000,-1.6,-380.80,-0.16,0,00:00:27:21,0.0,0s,1.6,1.60,0.0,0.0,-1.6,-380.8,0.0,0.0,-1.60,-380.80
04/03/2020 05:38,04/03/2020 06:06,AUDUSD,Buy,0.00000,0.00000,0.60611,0.60627,0.0000,0.0000,1.6,380.80,0.16,0,00:00:28:25,100.0,28m,9.6,0.09,11.2,2665.6,0.0,0.0,100.0,14.3,-9.60,-2284.80
04/02/2020 18:47,04/02/2020 19:03,EURUSD,Buy,0.00000,0.00000,1.08553,1.08650,0.0000,0.0000,9.7,2308.60,0.96,0,00:00:16:47,6.3,1m,0.0,0.10,9.7,2308.6,0.0,0.0,100.0,100.0,0.00,0.00
04/02/2020 17:37,04/02/2020 17:50,USDCHF,Sell,0.00000,0.00000,0.97088,0.97210,0.0000,0.0000,-12.2,-2985.43,-1.23,0,00:00:13:29,0.0,0s,12.2,12.21,0.0,0.0,-12.2,-2985.462,0.0,0.0,-12.20,-2985.46
04/02/2020 15:38,04/02/2020 15:54,EURUSD,Sell,0.00000,0.00000,1.09045,1.08901,0.0000,0.0000,14.4,3427.20,1.43,0,00:00:16:37,100.0,16m,39.8,0.02,54.2,12899.6,0.0,0.0,100.0,26.6,-39.80,-9472.40
04/02/2020 09:56,04/02/2020 10:15,USDJPY,Buy,0.00000,0.00000,107.32100,107.21000,0.0000,0.0000,-11.1,-2464.29,-1.02,0,00:00:19:04,52.7,10m,12.3,9.25,1.2,266.412,-11.1,-2464.3109999999997,9.8,0.0,-12.30,-2730.72
04/01/2020 18:44,04/01/2020 19:25,EURUSD,Sell,0.00000,0.00000,1.09363,1.09283,0.0000,0.0000,8.0,1904.00,0.79,0,00:00:41:01,2.5,1m,0.0,0.13,8.0,1904.0,0.0,0.0,100.0,100.0,0.00,0.00
04/01/2020 16:33,04/01/2020 16:53,USDCHF,Sell,0.00000,0.00000,0.96727,0.96695,0.0000,0.0000,3.2,787.65,0.33,0,00:00:19:47,5.0,59s,0.0,0.31,3.2,787.648,0.0,0.0,100.0,100.0,0.00,0.00
04/01/2020 14:16,04/01/2020 14:39,NZDUSD,Buy,0.00000,0.00000,0.59065,0.59097,0.0000,0.0000,3.2,761.60,0.32,0,00:00:22:37,78.3,17m,17.5,0.16,15.1,3593.7999999999997,-2.4,-571.1999999999999,86.3,32.0,-11.90,-2832.20
04/01/2020 11:19,04/01/2020 11:35,EURUSD,Buy,0.00000,0.00000,1.09433,1.09387,0.0000,0.0000,-4.6,-1094.80,-0.46,0,00:00:15:32,0.0,0s,4.6,4.60,0.0,0.0,-4.6,-1094.8,0.0,0.0,-4.60,-1094.80
04/01/2020 09:29,04/01/2020 09:50,USDJPY,Buy,0.00000,0.00000,107.43500,107.49400,0.0000,0.0000,5.9,1306.46,0.55,0,00:00:20:45,100.0,20m,16.3,0.05,22.2,4915.746,0.0,0.0,100.0,26.6,-16.30,-3609.31
03/31/2020 15:31,03/31/2020 15:49,GBPUSD,Buy,0.00000,0.00000,1.23788,1.23854,0.0000,0.0000,6.6,1379.40,0.58,0,00:00:18:19,5.6,1m,0.0,0.15,6.6,1379.3999999999999,0.0,0.0,100.0,100.0,0.00,0.00
03/31/2020 12:08,03/31/2020 12:24,USDCHF,Buy,0.00000,0.00000,0.96425,0.96357,0.0000,0.0000,-6.8,-1474.88,-0.62,0,00:00:16:24,93.8,15m,29.4,0.30,22.6,4901.714,-6.8,-1474.8519999999999,76.9,0.0,-29.40,-6376.57
03/31/2020 07:16,03/31/2020 07:33,USDCAD,Buy,0.00000,0.00000,1.41771,1.41816,0.0000,0.0000,4.5,663.14,0.28,0,00:00:16:34,5.9,58s,0.0,0.22,4.5,663.1200000000001,0.0,0.0,100.0,100.0,0.00,0.00
03/31/2020 06:01,03/31/2020 06:18,USDJPY,Sell,0.00000,0.00000,108.51500,108.44500,0.0000,0.0000,7.0,1348.87,0.57,0,00:00:16:23,5.9,57s,0.0,0.14,7.0,1348.8999999999999,0.0,0.0,100.0,100.0,0.00,0.00
03/30/2020 17:03,03/30/2020 17:15,NZDUSD,Sell,0.00000,0.00000,0.60078,0.60107,0.0000,0.0000,-2.9,-606.10,-0.26,0,00:00:11:49,0.0,0s,2.9,2.90,0.0,0.0,-2.9,-606.1,0.0,0.0,-2.90,-606.10
03/30/2020 14:23,03/30/2020 14:39,EURUSD,Buy,0.00000,0.00000,1.10482,1.10590,0.0000,0.0000,10.8,2257.20,0.96,0,00:00:15:30,6.3,58s,0.0,0.09,10.8,2257.2000000000003,0.0,0.0,100.0,100.0,0.00,0.00
03/30/2020 12:57,03/30/2020 13:15,AUDUSD,Buy,0.00000,0.00000,0.61434,0.61414,0.0000,0.0000,-2.0,-418.00,-0.18,0,00:00:18:08,0.0,0s,2.0,2.00,0.0,0.0,-2.0,-418.0,0.0,0.0,-2.00,-418.00
03/27/2020 14:34,03/27/2020 14:53,USDCHF,Buy,0.00000,0.00000,0.96078,0.96114,0.0000,0.0000,3.6,782.75,0.33,0,00:00:18:54,5.3,1m,0.0,0.28,3.6,782.748,0.0,0.0,100.0,100.0,0.00,0.00
03/27/2020 12:17,03/27/2020 12:31,AUDUSD,Buy,0.00000,0.00000,0.60638,0.60580,0.0000,0.0000,-5.8,-1212.20,-0.51,0,00:00:13:52,0.0,0s,5.8,5.80,0.0,0.0,-5.8,-1212.2,0.0,0.0,-5.80,-1212.20
03/27/2020 05:18,03/27/2020 05:46,USDCAD,Sell,0.00000,0.00000,1.40455,1.40360,0.0000,0.0000,9.5,1414.54,0.60,0,00:00:28:19,100.0,28m,26.4,0.03,35.9,5345.51,0.0,0.0,100.0,26.5,-26.40,-3930.96
03/26/2020 19:38,03/26/2020 19:57,USDJPY,Sell,0.00000,0.00000,109.69300,109.51300,0.0000,0.0000,18.0,3435.21,1.49,0,00:00:18:57,5.3,1m,0.0,0.06,18.0,3435.2999999999997,0.0,0.0,100.0,100.0,0.00,0.00
03/26/2020 18:34,03/26/2020 18:50,NZDUSD,Sell,0.59631,0.00000,0.59431,0.59631,0.0000,0.0000,-20.0,-4180.00,-1.78,0,00:00:16:03,0.0,0s,20.0,20.00,0.0,0.0,-20.0,-4180.0,0.0,0.0,-20.00,-4180.00
03/26/2020 17:11,03/26/2020 17:30,EURUSD,Buy,0.00000,0.00000,1.09633,1.09722,0.0000,0.0000,8.9,1860.10,0.80,0,00:00:18:51,5.3,59s,0.0,0.11,8.9,1860.1000000000001,0.0,0.0,100.0,100.0,0.00,0.00
03/26/2020 14:00,03/26/2020 14:15,USDCHF,Buy,0.00000,0.00000,0.97061,0.97044,0.0000,0.0000,-1.7,-366.11,-0.16,0,00:00:14:51,0.0,0s,17.8,17.83,0.0,0.0,-17.8,-3833.4080000000004,0.0,90.4,-1.70,-366.11
03/26/2020 08:07,03/26/2020 08:27,USDCAD,Buy,0.00000,0.00000,1.42437,1.42445,0.0000,0.0000,0.8,117.38,0.05,0,00:00:20:00,5.0,1m,0.0,1.25,0.8,117.384,0.0,0.0,100.0,100.0,0.00,0.00
03/25/2020 16:12,03/25/2020 16:29,USDCHF,Buy,0.00000,0.00000,0.97956,0.97938,0.0000,0.0000,-1.8,-384.31,-0.16,0,00:00:16:46,,,,,,,,,,,,
03/25/2020 14:09,03/25/2020 14:21,NZDUSD,Sell,0.00000,0.00000,0.58453,0.58351,0.0000,0.0000,10.2,2131.80,0.92,0,00:00:12:02,,,,,,,,,,,,
03/25/2020 10:18,03/25/2020 10:36,AUDUSD,Sell,0.00000,0.00000,0.60371,0.60291,0.0000,0.0000,8.0,1672.00,0.73,0,00:00:18:02,5.6,1m,0.0,0.13,8.0,1672.0,0.0,0.0,100.0,100.0,0.00,0.00
03/25/2020 06:48,03/25/2020 07:10,EURUSD,Sell,0.00000,0.00000,1.08131,1.08101,0.0000,0.0000,3.0,627.00,0.27,0,00:00:22:08,4.6,1m,0.0,0.33,3.0,627.0,0.0,0.0,100.0,100.0,0.00,0.00
03/24/2020 16:50,03/24/2020 17:03,USDCAD,Buy,1.44433,0.00000,1.44633,1.44433,0.0000,0.0000,-20.0,-2894.08,-1.25,0,00:00:12:39,,,,,,,,,,,,
03/24/2020 12:30,03/24/2020 12:45,USDCHF,Sell,0.00000,0.00000,0.97631,0.97549,0.0000,0.0000,8.2,1756.80,0.76,0,00:00:15:05,6.7,1m,0.0,0.12,8.2,1756.768,0.0,0.0,100.0,100.0,0.00,0.00
03/24/2020 08:32,03/24/2020 08:45,EURUSD,Sell,0.00000,0.00000,1.07856,1.07806,0.0000,0.0000,5.0,1045.00,0.46,0,00:00:13:35,7.7,1m,0.0,0.20,5.0,1045.0,0.0,0.0,100.0,100.0,0.00,0.00
03/23/2020 19:54,03/23/2020 20:09,EURUSD,Buy,0.00000,0.00000,1.07464,1.07519,0.0000,0.0000,5.5,1149.50,0.50,0,00:00:15:06,,,,,,,,,,,,
03/23/2020 18:11,03/23/2020 18:23,USDCHF,Buy,0.00000,0.00000,0.97933,0.98042,0.0000,0.0000,10.9,2323.88,1.03,0,00:00:11:59,,,,,,,,,,,,
03/23/2020 12:16,03/23/2020 12:30,NZDUSD,Buy,0.00000,0.00000,0.56453,0.56326,0.0000,0.0000,-12.7,-2654.30,-1.17,0,00:00:14:04,,,,,,,,,,,,
03/20/2020 14:15,03/20/2020 14:27,USDJPY,Sell,0.00000,0.00000,110.11100,110.20700,0.0000,0.0000,-9.6,-1820.52,-0.79,0,00:00:12:02,,,,,,,,,,,,
03/20/2020 10:01,03/20/2020 10:12,EURUSD,Buy,0.00000,0.00000,1.07498,1.07556,0.0000,0.0000,5.8,1212.20,0.53,0,00:00:11:05,,,,,,,,,,,,
03/20/2020 06:44,03/20/2020 07:16,USDJPY,Buy,0.00000,0.00000,110.06600,110.13800,0.0000,0.0000,7.2,1366.29,0.60,0,00:00:32:04,3.2,1m,0.0,0.14,7.2,1366.272,0.0,0.0,100.0,100.0,0.00,0.00
03/19/2020 18:04,03/19/2020 18:21,NZDUSD,Sell,0.00000,0.00000,0.58142,0.58189,0.0000,0.0000,-4.7,-982.30,-0.43,0,00:00:17:02,,,,,,,,,,,,
