History,,,,,,,,,,,,
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
29.01.2020 10:25:44,29.01.2020 10:35:00,EURUSD,Buy,6,0,0,1.10026,1.10049,2.3,113.4,00:00:09:16,0.01%
28.01.2020 14:29:15,28.01.2020 22:32:58,EURUSD,Buy,6,0,0,1.10034,1.10176,14.2,761.31,00:08:03:43,0.08%
28.01.2020 17:05:56,28.01.2020 22:32:51,EURUSD,Buy,6,0,0,1.09997,1.10177,18,968.24,00:05:26:55,0.10%
28.01.2020 14:27:17,28.01.2020 22:32:43,EURUSD,Buy,6,0,0,1.10043,1.10176,13.3,712.3,00:08:05:26,0.07%
28.01.2020 17:06:18,28.01.2020 22:11:41,EURUSD,Buy,6,0,0,1.09993,1.10174,18.1,973.71,00:05:05:23,0.10%
28.01.2020 17:06:25,28.01.2020 22:11:37,EURUSD,Buy,6,0,0,1.09988,1.10174,18.6,1000.94,00:05:05:12,0.10%
28.01.2020 17:06:33,28.01.2020 22:11:33,EURUSD,Buy,6,0,0,1.09983,1.10176,19.3,1039.05,00:05:05:00,0.10%
28.01.2020 17:52:51,28.01.2020 22:11:28,EURUSD,Buy,6,0,0,1.09993,1.10175,18.2,979.15,00:04:18:37,0.10%
27.01.2020 18:00:37,27.01.2020 22:57:44,EURUSD,Buy,6,0,0,1.10122,1.10181,5.9,309.29,00:04:57:07,0.03%
27.01.2020 18:03:48,27.01.2020 22:57:38,EURUSD,Buy,6,0,0,1.10112,1.10179,6.7,352.86,00:04:53:50,0.04%
27.01.2020 18:14:05,27.01.2020 22:45:28,EURUSD,Buy,6,0,0,1.10099,1.10179,8,423.65,00:04:31:23,0.04%
27.01.2020 14:36:35,27.01.2020 17:24:31,EURUSD,Sell,6,0,0,1.10243,1.10146,9.7,516.39,00:02:47:56,0.05%
27.01.2020 16:07:38,27.01.2020 16:58:12,EURUSD,Sell,6,0,0,1.1031,1.10166,14.4,772.27,00:00:50:34,0.08%
27.01.2020 16:13:07,27.01.2020 16:58:06,EURUSD,Sell,6,0,0,1.10319,1.10164,15.5,832.2,00:00:44:59,0.08%
27.01.2020 11:13:42,27.01.2020 12:26:32,EURUSD,Buy,6,0,0,1.10199,1.10218,1.9,91.43,00:01:12:50,0.01%
27.01.2020 11:31:23,27.01.2020 12:26:27,EURUSD,Buy,6,0,0,1.10159,1.10219,6,314.62,00:00:55:04,0.03%
26.01.2020 22:05:43,,,Withdrawal,0.01,0,0,0,0,0,-192914.32,00:00:00:00,-
24.01.2020 17:18:52,24.01.2020 20:35:43,EURUSD,Buy,6,0,0,1.10276,1.10296,2,96.8,00:03:16:51,0.01%
