Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
01/07/2022 18:41,01/07/2022 21:30,EURUSD,Buy,0.02,0,0,1.1351,1.1363,12.00,2.40,0,0
01/07/2022 18:05,01/07/2022 18:41,EURUSD,Buy,0.02,0,0,1.13506,1.13486,-2.00,-0.40,0,0
01/07/2022 18:19,01/07/2022 18:41,EURUSD,Buy,0.03,0,0,1.13424,1.13486,6.20,1.86,0,0
01/07/2022 17:10,01/07/2022 18:05,EURUSD,Buy,0.02,0,0,1.1338,1.135,12.00,2.40,0,0
01/07/2022 16:19,01/07/2022 17:09,EURUSD,Buy,0.02,0,0,1.13238,1.13358,12.00,2.40,0,0
01/07/2022 16:06,01/07/2022 16:19,EURUSD,Buy,0.02,0,0,1.13095,1.13215,12.00,2.40,0,0
01/07/2022 15:47,01/07/2022 16:06,EURUSD,Buy,0.02,0,0,1.13086,1.13078,0.80,-0.16,0,0
01/07/2022 15:58,01/07/2022 16:06,EURUSD,Buy,0.03,0,0,1.13025,1.13078,5.30,1.59,0,0
01/07/2022 12:56,01/07/2022 15:54,EURUSD,Sell,0.02,0,0,1.13041,1.13043,0.20,-0.04,0,0
01/07/2022 15:48,01/07/2022 15:54,EURUSD,Sell,0.03,0,0,1.13093,1.13043,5.00,1.50,0,0
01/07/2022 10:58,01/07/2022 15:35,AUDNZD,Sell,0.02,0,0,1.05913,1.05927,-1.40,-0.19,0,0
01/07/2022 11:23,01/07/2022 15:35,AUDNZD,Sell,0.03,0,0,1.05985,1.05927,5.80,1.18,0,0
01/07/2022 10:47,01/07/2022 15:30,EURUSD,Buy,0.02,0,0,1.13157,1.13092,-6.50,-1.30,0,0
01/07/2022 12:48,01/07/2022 15:30,EURUSD,Buy,0.03,0,0,1.13081,1.13092,1.10,0.33,0,0
01/07/2022 14:15,01/07/2022 15:30,EURUSD,Buy,0.04,0,0,1.13005,1.13092,8.70,3.48,0,0
01/06/2022 19:53,01/07/2022 12:54,EURUSD,Sell,0.02,0,0,1.12963,1.1306,-9.70,-1.94,0,0
01/07/2022 09:12,01/07/2022 12:54,EURUSD,Sell,0.03,0,0,1.1303,1.1306,-3.00,-0.90,0,0
01/07/2022 10:38,01/07/2022 12:54,EURUSD,Sell,0.04,0,0,1.13095,1.1306,3.50,1.40,0,0
01/07/2022 11:37,01/07/2022 12:54,EURUSD,Sell,0.05,0,0,1.13163,1.1306,10.30,5.15,0,0
01/07/2022 06:21,01/07/2022 10:58,AUDNZD,Sell,0.02,0,0,1.06069,1.05949,12.00,1.62,0,0
01/07/2022 04:11,01/07/2022 10:47,EURUSD,Buy,0.02,0,0,1.13017,1.13137,12.00,2.40,0,0
01/07/2022 04:00,01/07/2022 06:20,AUDNZD,Sell,0.02,0,0,1.06194,1.06074,12.00,1.62,0,0
01/06/2022 18:29,01/07/2022 04:00,EURUSD,Buy,0.02,0,0,1.13103,1.13011,-9.20,-1.84,0,0
01/06/2022 18:38,01/07/2022 04:00,EURUSD,Buy,0.03,0,0,1.13042,1.13011,-3.10,-0.93,0,0
01/06/2022 19:55,01/07/2022 04:00,EURUSD,Buy,0.04,0,0,1.12979,1.13011,3.20,1.28,0,0
01/06/2022 20:45,01/07/2022 04:00,EURUSD,Buy,0.05,0,0,1.12906,1.13011,10.50,5.25,0,0
01/06/2022 22:38,01/07/2022 03:56,AUDNZD,Sell,0.02,0,0,1.06163,1.06229,-6.60,-0.90,0,0
01/07/2022 01:41,01/07/2022 03:56,AUDNZD,Sell,0.03,0,0,1.06246,1.06229,1.70,0.34,0,0
01/07/2022 02:50,01/07/2022 03:56,AUDNZD,Sell,0.04,0,0,1.06312,1.06229,8.30,2.25,0,0
01/06/2022 20:42,01/07/2022 01:36,AUDNZD,Buy,0.02,0,0,1.06249,1.06235,-1.40,-0.18,0,0
01/06/2022 22:42,01/07/2022 01:36,AUDNZD,Buy,0.03,0,0,1.06177,1.06235,5.80,1.18,0,0
01/06/2022 17:59,01/06/2022 22:36,AUDNZD,Sell,0.02,0,0,1.06148,1.06196,-4.80,-0.65,0,0
